	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
26	1	1	561.0	560.0	447.0	447.0	704.0	704.0	e	3984	520.0	520	[1, 2, 4, 3, 2, 4, 3, 1]	[1, 2, 4, 3, 2, 4, 3, 1]	random	543.0	543.0	593.0	592.0	101	560.0	560.0	0	576.0	576.0
27	1	1	591.0	591.0	481.0	480.0	479.0	479.0	e	3839	631.0	631	[3, 4, 2, 1, 2, 3, 4, 1]	[3, 4, 2, 1, 2, 3, 4, 1]	random	448.0	448.0	656.0	656.0	101	625.0	624.0	0	559.0	559.0
28	1	1	559.0	559.0	528.0	528.0	416.0	416.0	e	3599	391.0	391	[4, 3, 2, 1, 2, 3, 1, 4]	[4, 3, 2, 1, 2, 3, 1, 4]	random	656.0	656.0	512.0	512.0	101	416.0	416.0	0	512.0	511.0
29	1	1	448.0	447.0	560.0	559.0	449.0	448.0	e	3567	487.0	487	[4, 1, 3, 2, 4, 3, 2, 1]	[4, 1, 3, 2, 4, 3, 2, 1]	random	447.0	447.0	592.0	592.0	101	543.0	543.0	0	528.0	528.0
30	1	1	480.0	479.0	640.0	639.0	369.0	368.0	e	3951	454.0	454	[4, 3, 1, 2, 3, 2, 4, 1]	[4, 3, 1, 2, 3, 2, 4, 1]	random	559.0	559.0	656.0	656.0	101	560.0	559.0	0	687.0	687.0
31	1	1	432.0	431.0	511.0	511.0	416.0	416.0	e	3311	550.0	550	[3, 2, 4, 1, 4, 3, 2, 1]	[3, 2, 4, 1, 4, 3, 2, 1]	random	383.0	383.0	609.0	608.0	101	561.0	559.0	0	399.0	399.0
32	1	1	624.0	624.0	544.0	543.0	560.0	559.0	e	3888	405.0	405	[3, 1, 4, 2, 1, 4, 2, 3]	[3, 1, 4, 2, 1, 4, 2, 3]	random	560.0	560.0	561.0	560.0	101	447.0	447.0	0	592.0	592.0
33	1	1	449.0	448.0	465.0	464.0	432.0	431.0	e	3360	408.0	408	[2, 3, 4, 1, 2, 3, 1, 4]	[2, 3, 4, 1, 2, 3, 1, 4]	random	543.0	543.0	496.0	496.0	101	447.0	447.0	0	528.0	528.0
34	1	1	544.0	543.0	544.0	543.0	479.0	479.0	e	3471	548.0	548	[3, 2, 1, 4, 2, 1, 4, 3]	[3, 2, 1, 4, 2, 1, 4, 3]	random	544.0	543.0	560.0	559.0	101	400.0	400.0	0	400.0	400.0
35	1	1	449.0	448.0	609.0	607.0	464.0	463.0	e	3552	422.0	422	[4, 2, 3, 1, 4, 1, 2, 3]	[4, 2, 3, 1, 4, 1, 2, 3]	random	528.0	527.0	495.0	495.0	101	495.0	495.0	0	512.0	512.0
36	1	1	527.0	527.0	624.0	624.0	432.0	432.0	e	3919	422.0	422	[4, 3, 1, 2, 3, 4, 2, 1]	[4, 3, 1, 2, 3, 4, 2, 1]	random	672.0	671.0	480.0	480.0	101	608.0	607.0	0	576.0	576.0
37	1	1	431.0	431.0	624.0	623.0	559.0	559.0	e	3775	438.0	438	[4, 2, 1, 3, 2, 3, 1, 4]	[4, 2, 1, 3, 2, 3, 1, 4]	random	544.0	544.0	657.0	655.0	101	497.0	496.0	0	463.0	463.0
38	1	1	512.0	511.0	671.0	671.0	417.0	416.0	e	3599	454.0	454	[1, 2, 3, 4, 3, 1, 4, 2]	[1, 2, 3, 4, 3, 1, 4, 2]	random	528.0	527.0	592.0	591.0	101	448.0	447.0	0	431.0	431.0
39	1	1	448.0	447.0	608.0	607.0	528.0	527.0	e	4031	439.0	439	[2, 4, 3, 1, 2, 3, 1, 4]	[2, 4, 3, 1, 2, 3, 1, 4]	random	575.0	575.0	704.0	704.0	101	593.0	592.0	0	575.0	574.0
40	1	2	544.0	543.0	448.0	448.0	400.0	400.0	e	3407	475.0	475	[1, 4, 2, 3, 4, 2, 1, 3]	[1, 4, 2, 3, 4, 2, 1, 3]	random	544.0	543.0	463.0	463.0	101	497.0	496.0	0	511.0	511.0
41	1	2	497.0	496.0	512.0	511.0	449.0	448.0	e	3584	469.0	469	[2, 4, 3, 1, 2, 3, 1, 4]	[2, 4, 3, 1, 2, 3, 1, 4]	random	576.0	575.0	495.0	495.0	101	527.0	527.0	0	528.0	528.0
42	1	2	479.0	479.0	561.0	560.0	448.0	447.0	e	3663	327.0	327	[1, 4, 2, 3, 2, 1, 3, 4]	[1, 4, 2, 3, 2, 1, 3, 4]	random	721.0	720.0	495.0	495.0	101	528.0	527.0	0	431.0	431.0
43	1	2	529.0	528.0	576.0	575.0	432.0	431.0	e	3488	455.0	455	[4, 1, 2, 3, 2, 4, 3, 1]	[4, 1, 2, 3, 2, 4, 3, 1]	random	607.0	607.0	497.0	495.0	101	447.0	447.0	0	400.0	400.0
44	1	2	608.0	607.0	528.0	527.0	447.0	447.0	e	3583	501.0	501	[2, 4, 1, 3, 2, 4, 1, 3]	[2, 4, 1, 3, 2, 4, 1, 3]	random	511.0	511.0	529.0	528.0	101	465.0	464.0	0	495.0	495.0
45	1	2	432.0	431.0	560.0	559.0	416.0	415.0	e	3423	517.0	517	[4, 3, 2, 1, 4, 3, 1, 2]	[4, 3, 2, 1, 4, 3, 1, 2]	random	592.0	591.0	480.0	479.0	101	383.0	383.0	0	560.0	560.0
46	1	2	560.0	559.0	527.0	527.0	513.0	511.0	e	3855	551.0	551	[2, 4, 1, 3, 1, 2, 3, 4]	[2, 4, 1, 3, 1, 2, 3, 4]	random	656.0	655.0	576.0	575.0	101	511.0	511.0	0	512.0	512.0
47	1	2	448.0	448.0	592.0	591.0	432.0	431.0	e	3472	421.0	421	[4, 3, 2, 1, 4, 1, 3, 2]	[4, 3, 2, 1, 4, 1, 3, 2]	random	577.0	576.0	464.0	463.0	101	431.0	431.0	0	528.0	528.0
48	1	2	513.0	512.0	576.0	576.0	481.0	480.0	e	3840	693.0	693	[3, 1, 4, 2, 1, 4, 2, 3]	[3, 1, 4, 2, 1, 4, 2, 3]	random	624.0	623.0	575.0	575.0	101	560.0	559.0	0	511.0	511.0
49	1	2	529.0	528.0	576.0	575.0	559.0	559.0	e	4112	533.0	533	[3, 1, 2, 4, 3, 1, 2, 4]	[3, 1, 2, 4, 3, 1, 2, 4]	random	511.0	511.0	657.0	656.0	101	561.0	560.0	0	719.0	719.0
50	1	2	449.0	448.0	480.0	479.0	367.0	367.0	e	3329	612.0	612	[3, 2, 4, 1, 4, 1, 2, 3]	[3, 2, 4, 1, 4, 1, 2, 3]	random	624.0	623.0	464.0	463.0	101	544.0	544.0	0	400.0	400.0
51	1	2	480.0	480.0	479.0	479.0	369.0	368.0	e	3184	421.0	421	[4, 1, 2, 3, 4, 3, 2, 1]	[4, 1, 2, 3, 4, 3, 2, 1]	random	385.0	384.0	592.0	591.0	101	479.0	479.0	0	400.0	400.0
52	1	2	528.0	527.0	592.0	591.0	448.0	447.0	e	3551	724.0	724	[2, 3, 4, 1, 2, 4, 1, 3]	[2, 3, 4, 1, 2, 4, 1, 3]	random	511.0	511.0	593.0	592.0	101	431.0	431.0	0	448.0	448.0
