	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	2	4	2	random	4	1	3	1	3	117
1	5	2	3	2	random	3	1	4	4	1	117
2	5	1	2	4	random	3	3	4	1	2	117
3	5	2	3	2	random	3	4	1	4	1	117
4	7	4	1	4	random	2	3	2	3	1	117
5	3	2	1	3	C	1	4	3	2	4	117
6	4	1	2	3	random	2	4	3	1	4	117
7	4	3	4	2	random	4	1	2	1	3	117
8	3	3	1	2	random	4	4	2	3	1	117
9	3	4	1	2	random	1	2	3	3	4	117
10	5	2	3	4	random	2	1	4	3	1	117
11	2	2	2	4	A	4	1	3	1	3	117
12	1	1	2	1	B	3	3	4	4	2	117
13	1	2	1	3	random	4	3	4	2	1	117
14	4	2	4	3	random	2	1	3	4	1	117
