	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	4	2	4	random	3	3	1	2	1	117
1	5	3	4	1	random	3	2	1	4	2	117
2	5	4	3	2	random	1	1	2	3	4	117
3	4	2	3	4	random	2	4	1	3	1	117
4	3	2	3	4	random	2	1	4	3	1	117
5	4	3	4	1	random	3	2	1	4	2	117
6	6	2	3	1	random	3	1	4	2	4	117
7	1	2	2	4	A	4	1	3	1	3	117
8	3	1	2	1	B	3	3	4	4	2	117
9	2	2	1	3	C	1	4	3	2	4	117
10	3	1	4	3	random	2	3	2	1	4	117
11	3	3	2	3	random	2	1	4	4	1	117
12	3	2	3	2	random	3	1	4	4	1	117
13	3	4	1	3	random	1	3	2	2	4	117
14	4	4	2	4	random	1	3	1	2	3	117
