	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	448.0	447.0	480.0	479.0	448.0	447.0	e	3906.0	3296.0	610.0	610.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	A	528.0	527.0	352.0	351.0	117	512.0	511.0	0	528.0	527.0
1	1	1	352.0	351.0	400.0	399.0	320.0	319.0	e	3906.0	2688.0	743.0	743.0	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	432.0	431.0	368.0	367.0	117	288.0	287.0	0	528.0	527.0
2	1	1	528.0	527.0	352.0	351.0	512.0	511.0	e	3906.0	2832.0	375.0	375.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	A	320.0	319.0	288.0	287.0	117	320.0	319.0	0	512.0	511.0
3	1	1	480.0	479.0	352.0	351.0	304.0	303.0	e	3906.0	2832.0	438.0	438.0	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	320.0	319.0	560.0	559.0	117	320.0	319.0	0	496.0	495.0
4	0	1			496.0	495.0	384.0	383.0	e	3906.0	1984.0	631.0	631.0	[3, 2, 4, 1, 2, 3]	[3, 2, 4, 1, 2, 4, 3, 1]	B				255.0	117	496.0	495.0	0	352.0	351.0
5	1	1	288.0	287.0	416.0	415.0	304.0	303.0	e	3906.0	2560.0	392.0	392.0	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	352.0	351.0	384.0	383.0	117	320.0	319.0	0	496.0	495.0
6	1	1	672.0	671.0	496.0	495.0	320.0	319.0	e	3906.0	3328.0	406.0	406.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	512.0	511.0	672.0	671.0	117	448.0	447.0	0	208.0	207.0
7	0	1			496.0	495.0	416.0	415.0	e	3906.0	2576.0	966.0	966.0	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	B			832.0	831.0	117	496.0	495.0	1	336.0	335.0
8	1	1	448.0	447.0	448.0	447.0	304.0	303.0	e	3906.0	2816.0	542.0	542.0	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	352.0	351.0	416.0	415.0	117	336.0	335.0	0	512.0	511.0
9	0	1							e	3906.0	224.0	502.0	502.0	[4, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	A					117			0		223.0
10	1	1	624.0	623.0	320.0	319.0	432.0	431.0	e	3906.0	2880.0	457.0	457.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	A	368.0	367.0	304.0	303.0	117	528.0	527.0	0	304.0	303.0
