	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	4	1	2	random	4	3	2	3	1	101
1	4	3	3	2	D	2	4	1	4	1	101
2	5	2	4	3	random	1	3	1	4	2	101
3	2	4	1	4	random	1	3	2	2	3	101
4	3	1	2	4	random	2	3	4	3	1	101
5	7	2	3	1	random	3	4	1	2	4	101
6	2	1	3	4	random	3	2	4	1	2	101
7	4	3	2	1	random	2	4	1	4	3	101
8	5	1	2	1	B	3	3	4	4	2	101
9	2	2	1	3	C	1	4	3	2	4	101
10	6	2	2	4	A	4	1	3	1	3	101
11	3	2	1	4	random	1	3	4	2	3	101
12	1	1	4	2	random	3	2	3	4	1	101
13	2	4	1	3	random	2	2	3	1	4	101
14	1	4	1	4	random	2	3	2	1	3	101
15	2	2	3	2	random	4	1	4	1	3	101
