	actual_seq	actual_seq_label	generated	seq_eight	seq_five	seq_four	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	[2, 1, 4, 2, 3, 1, 4, 3]	A	[2, 1, 4, 3, 2, 1, 4, 3]	3	2	3	2	4	1	4	1	102
1	[4, 3, 1, 4, 2, 3, 1, 2]	B	[3, 1, 4, 2, 1, 4, 3, 1]	1	1	2	3	3	4	4	1	102
2	[3, 2, 4, 1, 2, 4, 3, 1]	C	[4, 1, 2, 1, 4, 3, 2, 4]	4	4	1	4	2	3	2	1	102
3	[1, 4, 2, 3, 1, 3, 4, 2]	D	[1, 2, 4, 3, 2, 1, 3, 4]	4	2	3	1	3	1	4	2	102
