	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
22	1	1	400.0	399.0	369.0	368.0	272.0	271.0	e	3535	2671	423.0	423	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	465.0	463.0	463.0	463.0	101	368.0	367.0	0	335.0	335.0
23	1	1	512.0	511.0	384.0	384.0	353.0	352.0	e	3455	2991	462.0	462	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	527.0	527.0	464.0	464.0	101	431.0	431.0	0	320.0	320.0
24	1	1	447.0	447.0	400.0	399.0	336.0	335.0	e	3422	2751	416.0	416	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	480.0	480.0	449.0	448.0	101	335.0	335.0	0	304.0	304.0
25	1	1	496.0	495.0	432.0	431.0	368.0	367.0	e	3391	2927	403.0	403	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	447.0	447.0	497.0	496.0	101	352.0	351.0	0	335.0	335.0
26	1	1	399.0	399.0	401.0	400.0	352.0	351.0	e	3358	2735	462.0	462	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	512.0	512.0	448.0	448.0	101	320.0	319.0	0	303.0	303.0
27	1	1	528.0	527.0	303.0	303.0	417.0	416.0	e	3294	2863	419.0	419	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	448.0	447.0	272.0	271.0	101	399.0	399.0	0	496.0	496.0
28	0	1		335.0	384.0	383.0	352.0	351.0	e	3294	2591	476.0	476	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	401.0	400.0	448.0	447.0	101	384.0	383.0	0	287.0	287.0
29	1	1	401.0	400.0	383.0	383.0	353.0	352.0	e	3294	2720	464.0	464	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	399.0	399.0	433.0	432.0	101	432.0	431.0	0	319.0	319.0
30	0	1							e	3214	336	364.0	364	[4, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101			0		336.0
31	0	1	465.0	464.0	607.0	607.0	432.0	432.0	e	3214	3152	417.0	417	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	383.0	383.0	385.0	383.0	101	448.0	448.0	1	432.0	432.0
