	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	2	1	3	A	1	4	3	2	4	107
1	5	2	3	4	random	1	1	4	2	3	107
2	6	2	2	4	C	4	1	3	1	3	107
3	2	2	3	2	random	3	1	4	1	4	107
4	3	2	3	1	random	3	1	4	2	4	107
5	5	3	2	4	random	3	4	1	1	2	107
6	6	4	1	2	random	4	3	2	1	3	107
7	7	4	1	3	random	1	2	3	4	2	107
8	5	2	1	4	random	3	4	3	2	1	107
9	6	3	3	2	B	2	4	1	4	1	107
10	3	1	2	4	random	3	3	4	1	2	107
11	6	2	3	1	random	3	1	4	4	2	107
12	3	2	1	2	random	3	3	4	4	1	107
13	2	4	1	2	random	3	2	3	1	4	107
14	2	2	4	3	random	1	3	1	2	4	107
