	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	2	1	2	1	A	3	3	4	4	2	104
1	1	3	1	4	random	1	4	2	2	3	104
2	7	3	1	4	random	2	2	4	1	3	104
3	1	3	3	2	C	2	4	1	4	1	104
4	7	3	4	2	random	3	2	1	4	1	104
5	2	2	1	3	B	1	4	3	2	4	104
6	7	3	2	3	random	1	4	1	2	4	104
7	5	4	3	2	random	4	2	1	1	3	104
8	5	3	2	4	random	1	4	1	2	3	104
9	7	2	3	1	random	4	4	1	3	2	104
10	2	2	4	3	random	1	3	1	4	2	104
11	6	3	4	2	random	4	2	1	1	3	104
12	1	4	3	4	random	3	1	2	1	2	104
13	7	1	2	1	random	4	4	3	3	2	104
14	7	4	3	2	random	4	2	1	1	3	104
