	actual_seq	actual_seq_label	generated	seq_eight	seq_five	seq_four	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	[4, 3, 1, 4, 2, 3, 1, 2]	A	[4, 2, 3, 1, 4, 2, 3, 4]	4	4	1	4	3	2	3	2	133
1	[3, 2, 4, 1, 2, 4, 3, 1]	B	[4, 3, 1, 2, 4, 2, 3, 4]	4	4	2	4	3	2	1	3	133
2	[1, 4, 2, 3, 1, 3, 4, 2]	C	[1, 4, 2, 3, 1, 3, 4, 2]	2	1	3	1	4	3	2	4	133
