	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	288.0	286.0	352.0	350.0	320.0	318.0	loss	2288	357.0	357	[1, 4, 2, 3, 4, 2, 1, 3]	[1, 4, 2, 3, 4, 2, 1, 3]	random	320.0	318.0	336.0	334.0	106	320.0	318.0	0	352.0	350.0
1	1	1	337.0	335.0	303.0	301.0	336.0	335.0	loss	2336	367.0	367	[3, 1, 2, 4, 1, 2, 4, 3]	[3, 1, 2, 4, 1, 2, 4, 3]	random	336.0	334.0	400.0	398.0	106	336.0	335.0	0	288.0	286.0
2	1	1	384.0	382.0	304.0	302.0	304.0	302.0	loss	2320	319.0	319	[2, 4, 1, 3, 2, 4, 3, 1]	[2, 4, 1, 3, 2, 4, 3, 1]	random	400.0	398.0	320.0	318.0	106	304.0	302.0	0	304.0	302.0
3	1	1	304.0	302.0	352.0	350.0	288.0	286.0	loss	2288	303.0	303	[2, 1, 3, 4, 2, 3, 4, 1]	[2, 1, 3, 4, 2, 3, 4, 1]	random	320.0	318.0	304.0	302.0	106	384.0	382.0	0	336.0	334.0
4	1	1	272.0	271.0	448.0	446.0	304.0	302.0	loss	2528	383.0	383	[1, 2, 4, 3, 4, 2, 3, 1]	[1, 2, 4, 3, 4, 2, 3, 1]	random	304.0	302.0	336.0	334.0	106	432.0	430.0	0	432.0	430.0
5	1	1	352.0	350.0	336.0	334.0	369.0	367.0	loss	2353	463.0	463	[2, 4, 3, 1, 3, 2, 1, 4]	[2, 4, 3, 1, 3, 2, 1, 4]	random	304.0	302.0	320.0	317.0	106	336.0	334.0	0	336.0	334.0
6	1	1	304.0	302.0	304.0	302.0	304.0	302.0	loss	2432	352.0	352	[4, 2, 1, 3, 2, 3, 1, 4]	[4, 2, 1, 3, 2, 3, 1, 4]	random	496.0	494.0	400.0	398.0	106	320.0	318.0	0	304.0	302.0
7	1	1	336.0	334.0	432.0	430.0	288.0	286.0	loss	2432	351.0	351	[4, 2, 3, 1, 3, 2, 1, 4]	[4, 2, 3, 1, 3, 2, 1, 4]	random	432.0	430.0	368.0	366.0	106	256.0	254.0	0	320.0	318.0
8	1	1	288.0	286.0	304.0	302.0	304.0	302.0	loss	2080	398.0	398	[1, 3, 2, 4, 1, 3, 2, 4]	[1, 3, 2, 4, 1, 3, 2, 4]	random	304.0	302.0	304.0	302.0	106	288.0	286.0	0	288.0	286.0
9	1	1	320.0	318.0	352.0	350.0	320.0	318.0	loss	2368	415.0	415	[1, 2, 3, 4, 2, 4, 1, 3]	[1, 2, 3, 4, 2, 4, 1, 3]	random	336.0	334.0	336.0	334.0	106	288.0	286.0	0	416.0	414.0
10	1	1	352.0	350.0	336.0	334.0	320.0	318.0	loss	2576	335.0	335	[4, 2, 3, 1, 2, 1, 4, 3]	[4, 2, 3, 1, 2, 1, 4, 3]	random	496.0	494.0	416.0	414.0	106	336.0	334.0	0	320.0	318.0
11	1	1	288.0	286.0	352.0	350.0	320.0	318.0	loss	2319	383.0	383	[1, 3, 2, 4, 2, 4, 1, 3]	[1, 3, 2, 4, 2, 4, 1, 3]	random	400.0	398.0	320.0	318.0	106	336.0	334.0	0	303.0	301.0
12	1	1	289.0	287.0	304.0	302.0	304.0	302.0	loss	2353	399.0	399	[1, 3, 4, 2, 4, 3, 2, 1]	[1, 3, 4, 2, 4, 3, 2, 1]	random	384.0	382.0	368.0	366.0	106	320.0	318.0	0	384.0	382.0
13	1	1	320.0	318.0	320.0	318.0	336.0	334.0	loss	2384	415.0	415	[4, 1, 3, 2, 3, 4, 2, 1]	[4, 1, 3, 2, 3, 4, 2, 1]	random	368.0	366.0	336.0	334.0	106	288.0	286.0	0	416.0	414.0
14	1	1	352.0	350.0	336.0	335.0	288.0	286.0	loss	2399	369.0	369	[4, 3, 1, 2, 3, 1, 2, 4]	[4, 3, 1, 2, 3, 1, 2, 4]	random	351.0	350.0	336.0	334.0	106	368.0	366.0	0	368.0	366.0
15	1	1	272.0	270.0	320.0	318.0	304.0	302.0	loss	2144	366.0	366	[2, 1, 3, 4, 2, 3, 4, 1]	[2, 1, 3, 4, 2, 3, 4, 1]	random	336.0	334.0	304.0	302.0	106	304.0	302.0	0	304.0	302.0
16	0	1			289.0	287.0	288.0	286.0	loss	1649	431.0	431	[4, 2, 1, 3, 4, 4]	[4, 2, 1, 3, 4, 3, 1, 2]	random				510.0	106	320.0	318.0	0	240.0	238.0
17	1	1	272.0	271.0	288.0	286.0	272.0	270.0	loss	2096	363.0	363	[3, 1, 2, 4, 2, 3, 4, 1]	[3, 1, 2, 4, 2, 3, 4, 1]	random	272.0	270.0	320.0	318.0	106	336.0	334.0	0	336.0	334.0
18	1	1	352.0	350.0	288.0	286.0	304.0	302.0	loss	2240	382.0	382	[4, 1, 3, 2, 4, 3, 1, 2]	[4, 1, 3, 2, 4, 3, 1, 2]	random	304.0	302.0	368.0	366.0	106	288.0	286.0	0	336.0	334.0
19	1	1	288.0	286.0	416.0	414.0	320.0	318.0	loss	2368	462.0	462	[3, 4, 2, 1, 4, 1, 3, 2]	[3, 4, 2, 1, 4, 1, 3, 2]	random	288.0	286.0	432.0	430.0	106	304.0	302.0	0	320.0	318.0
20	1	1	320.0	318.0	416.0	414.0	288.0	286.0	loss	2336	495.0	495	[2, 3, 1, 4, 3, 1, 4, 2]	[2, 3, 1, 4, 3, 1, 4, 2]	random	416.0	414.0	368.0	366.0	106	256.0	254.0	0	272.0	270.0
21	1	1	336.0	334.0	304.0	302.0	368.0	366.0	loss	2239	447.0	447	[2, 3, 4, 1, 3, 4, 1, 2]	[2, 3, 4, 1, 3, 4, 1, 2]	random	272.0	270.0	384.0	382.0	106	272.0	270.0	0	303.0	301.0
22	1	1	320.0	318.0	304.0	302.0	336.0	334.0	loss	2288	430.0	430	[2, 4, 1, 3, 2, 1, 3, 4]	[2, 4, 1, 3, 2, 1, 3, 4]	random	320.0	318.0	320.0	318.0	106	400.0	398.0	0	288.0	286.0
23	1	1	272.0	270.0	304.0	302.0	272.0	270.0	loss	2000	319.0	319	[1, 3, 2, 4, 2, 3, 1, 4]	[1, 3, 2, 4, 2, 3, 1, 4]	random	288.0	286.0	288.0	286.0	106	288.0	286.0	0	288.0	286.0
24	1	1	288.0	286.0	399.0	397.0	304.0	303.0	loss	2303	703.0	703	[1, 2, 4, 3, 4, 1, 3, 2]	[1, 2, 4, 3, 4, 1, 3, 2]	random	352.0	350.0	272.0	270.0	106	304.0	302.0	0	384.0	382.0
25	1	1	448.0	446.0	384.0	382.0	288.0	286.0	loss	2352	958.0	958	[1, 2, 3, 4, 3, 2, 1, 4]	[1, 2, 3, 4, 3, 2, 1, 4]	random	240.0	238.0	256.0	254.0	106	320.0	318.0	0	416.0	414.0
26	1	1	256.0	254.0	320.0	318.0	304.0	302.0	loss	2128	302.0	302	[4, 2, 1, 3, 1, 3, 4, 2]	[4, 2, 1, 3, 1, 3, 4, 2]	random	320.0	318.0	320.0	318.0	106	336.0	334.0	0	272.0	270.0
27	1	1	224.0	222.0	384.0	382.0	240.0	238.0	loss	2336	670.0	670	[2, 1, 4, 3, 2, 3, 4, 1]	[2, 1, 4, 3, 2, 3, 4, 1]	random	336.0	334.0	527.0	526.0	106	289.0	287.0	0	336.0	334.0
28	0	1			352.0	350.0	368.0	366.0	loss	1616	432.0	432	[2, 4, 3, 1, 4, 3]	[2, 4, 3, 1, 4, 1, 3, 2]	random				254.0	106	320.0	318.0	0	320.0	318.0
29	1	1	288.0	286.0	368.0	366.0	368.0	366.0	loss	2368	330.0	330	[2, 3, 1, 4, 1, 2, 4, 3]	[2, 3, 1, 4, 1, 2, 4, 3]	random	368.0	366.0	384.0	382.0	106	320.0	318.0	0	272.0	270.0
30	0	1							loss	512	382.0	382	[3, 4, 1]	[3, 4, 2, 1, 2, 3, 4, 1]	random					106		222.0	0	288.0	286.0
31	1	1	320.0	318.0	304.0	302.0	304.0	302.0	loss	2112	365.0	365	[4, 2, 1, 3, 2, 4, 3, 1]	[4, 2, 1, 3, 2, 4, 3, 1]	random	304.0	302.0	256.0	254.0	106	288.0	286.0	0	336.0	334.0
32	1	1	320.0	318.0	272.0	270.0	288.0	286.0	loss	2352	382.0	382	[1, 2, 4, 3, 2, 3, 1, 4]	[1, 2, 4, 3, 2, 3, 1, 4]	random	352.0	350.0	400.0	398.0	106	352.0	350.0	0	368.0	366.0
33	1	1	288.0	286.0	336.0	334.0	352.0	350.0	loss	2304	430.0	430	[2, 3, 1, 4, 1, 3, 4, 2]	[2, 3, 1, 4, 1, 3, 4, 2]	random	416.0	414.0	304.0	302.0	106	352.0	350.0	0	256.0	254.0
34	1	1	336.0	334.0	560.0	558.0	288.0	286.0	loss	2399	398.0	398	[2, 4, 1, 3, 1, 4, 2, 3]	[2, 4, 1, 3, 1, 4, 2, 3]	random	304.0	302.0	320.0	318.0	106	271.0	270.0	0	320.0	318.0
35	1	1	336.0	334.0	448.0	446.0	272.0	270.0	loss	2240	365.0	365	[1, 2, 3, 4, 2, 4, 1, 3]	[1, 2, 3, 4, 2, 4, 1, 3]	random	288.0	286.0	336.0	334.0	106	256.0	254.0	0	304.0	302.0
36	1	1	272.0	270.0	336.0	334.0	352.0	350.0	loss	2272	398.0	398	[1, 4, 2, 3, 1, 4, 3, 2]	[1, 4, 2, 3, 1, 4, 3, 2]	random	336.0	334.0	320.0	318.0	106	352.0	350.0	0	304.0	302.0
37	0	1							loss	0		334	[1]	[2, 3, 4, 1, 2, 4, 1, 3]	random					106			0		
38	1	1	416.0	414.0	272.0	270.0	416.0	414.0	loss	2256	409.0	409	[3, 4, 1, 2, 3, 4, 1, 2]	[3, 4, 1, 2, 3, 4, 1, 2]	random	288.0	286.0	272.0	270.0	106	288.0	286.0	0	304.0	302.0
39	1	1	320.0	318.0	272.0	270.0	288.0	286.0	loss	2256	493.0	493	[2, 1, 4, 3, 4, 2, 1, 3]	[2, 1, 4, 3, 4, 2, 1, 3]	random	304.0	302.0	416.0	414.0	106	320.0	318.0	0	336.0	334.0
40	1	2	304.0	302.0	352.0	350.0	304.0	302.0	loss	2432	357.0	357	[2, 4, 3, 1, 2, 1, 3, 4]	[2, 4, 3, 1, 2, 1, 3, 4]	random	432.0	430.0	448.0	446.0	106	288.0	286.0	0	304.0	302.0
41	1	2	288.0	286.0	336.0	334.0	320.0	318.0	loss	2256	413.0	413	[4, 2, 1, 3, 4, 1, 3, 2]	[4, 2, 1, 3, 4, 1, 3, 2]	random	368.0	366.0	288.0	286.0	106	320.0	318.0	0	336.0	334.0
42	1	2	288.0	286.0	384.0	382.0	336.0	334.0	loss	2512	303.0	303	[4, 1, 2, 3, 2, 1, 3, 4]	[4, 1, 2, 3, 2, 1, 3, 4]	random	400.0	398.0	288.0	286.0	106	480.0	478.0	0	336.0	334.0
43	1	2	304.0	302.0	368.0	366.0	336.0	334.0	loss	2512	382.0	382	[3, 1, 4, 2, 1, 2, 4, 3]	[3, 1, 4, 2, 1, 2, 4, 3]	random	416.0	414.0	480.0	478.0	106	304.0	302.0	0	304.0	302.0
44	1	2	304.0	302.0	320.0	318.0	336.0	334.0	loss	2256	397.0	397	[1, 3, 4, 2, 3, 1, 4, 2]	[1, 3, 4, 2, 3, 1, 4, 2]	random	336.0	334.0	304.0	302.0	106	320.0	318.0	0	336.0	334.0
45	1	2	353.0	351.0	464.0	462.0	320.0	318.0	loss	2945	493.0	493	[3, 4, 2, 1, 2, 1, 3, 4]	[3, 4, 2, 1, 2, 1, 3, 4]	random	720.0	718.0	416.0	414.0	106	352.0	350.0	0	320.0	318.0
46	1	2	320.0	318.0	432.0	430.0	304.0	302.0	loss	2560	350.0	350	[2, 1, 4, 3, 4, 3, 2, 1]	[2, 1, 4, 3, 4, 3, 2, 1]	random	336.0	334.0	544.0	542.0	106	336.0	334.0	0	288.0	286.0
47	1	2	272.0	270.0	352.0	350.0	320.0	318.0	loss	2447	541.0	541	[4, 1, 3, 2, 1, 4, 3, 2]	[4, 1, 3, 2, 1, 4, 3, 2]	random	432.0	430.0	384.0	382.0	106	336.0	334.0	0	351.0	350.0
48	1	2	400.0	398.0	288.0	286.0	352.0	350.0	loss	2352	349.0	349	[4, 1, 2, 3, 2, 1, 4, 3]	[4, 1, 2, 3, 2, 1, 4, 3]	random	336.0	334.0	304.0	302.0	106	368.0	366.0	0	304.0	302.0
49	1	2	400.0	398.0	576.0	574.0	240.0	238.0	loss	2561	478.0	478	[2, 1, 3, 4, 2, 4, 3, 1]	[2, 1, 3, 4, 2, 4, 3, 1]	random	416.0	414.0	352.0	350.0	106	272.0	270.0	0	305.0	303.0
50	1	2	480.0	478.0	288.0	286.0	288.0	286.0	loss	2239	670.0	670	[1, 2, 3, 4, 3, 2, 1, 4]	[1, 2, 3, 4, 3, 2, 1, 4]	random	288.0	286.0	272.0	270.0	106	240.0	238.0	0	383.0	381.0
