	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	4	1	4	2	random	1	2	3	3	4	113
1	1	2	2	4	A	4	1	3	1	3	113
2	1	2	1	2	random	1	3	4	4	3	113
3	6	1	4	2	random	4	2	3	3	1	113
4	3	1	2	1	B	3	3	4	4	2	113
5	3	2	3	2	random	1	1	4	4	3	113
6	6	2	4	1	random	3	3	1	2	4	113
7	4	4	2	3	random	1	3	1	4	2	113
8	1	2	1	3	C	1	4	3	2	4	113
9	7	4	2	1	random	3	1	3	2	4	113
10	4	2	4	2	random	1	3	1	4	3	113
11	4	4	1	2	random	1	3	2	3	4	113
12	6	4	3	4	random	1	2	1	3	2	113
13	6	4	3	2	random	3	2	1	4	1	113
14	6	2	4	3	random	2	1	3	4	1	113
