	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	3	3	2	B	2	4	1	4	1	111
1	1	1	2	4	random	3	3	4	2	1	111
2	4	2	2	4	C	4	1	3	1	3	111
3	1	2	1	3	random	2	4	3	4	1	111
4	1	2	1	3	A	1	4	3	2	4	111
5	5	2	3	4	random	1	1	4	3	2	111
6	7	2	3	1	random	3	1	4	4	2	111
7	1	4	1	2	random	4	3	2	3	1	111
8	1	3	4	3	random	1	2	1	4	2	111
9	1	1	2	1	random	3	4	3	4	2	111
10	3	4	2	1	random	2	3	1	3	4	111
11	7	3	4	3	random	4	1	2	2	1	111
12	1	1	4	1	random	3	3	2	4	2	111
13	1	1	3	4	random	2	4	2	1	3	111
14	1	4	3	1	random	3	1	2	4	2	111
