	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	3	2	4	3	random	1	1	3	4	2	122
1	7	3	2	1	random	4	4	1	2	3	122
2	7	1	4	1	random	3	3	2	4	2	122
3	7	4	3	2	random	1	1	2	4	3	122
4	7	1	4	3	random	4	3	2	1	2	122
5	7	2	2	4	B	4	1	3	1	3	122
6	1	1	2	3	random	2	3	4	4	1	122
7	4	2	1	3	random	1	3	4	4	2	122
8	7	3	4	2	random	1	1	2	3	4	122
9	2	1	2	1	C	3	3	4	4	2	122
10	5	2	4	1	random	2	3	1	3	4	122
11	7	3	3	2	A	2	4	1	4	1	122
12	7	2	3	1	random	4	1	4	3	2	122
13	7	1	2	3	random	2	3	4	1	4	122
14	2	2	1	4	random	1	3	4	3	2	122
