	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	7	3	3	2	A	2	4	1	4	1	106
1	7	2	2	4	B	4	1	3	1	3	106
2	7	1	2	1	C	3	3	4	4	2	106
3	6	2	1	2	random	1	3	4	4	3	106
4	7	1	4	3	random	2	2	3	4	1	106
5	7	1	2	1	random	4	4	3	3	2	106
6	5	1	4	3	random	2	2	3	4	1	106
7	2	1	4	1	random	4	2	3	3	2	106
8	5	4	1	4	random	2	3	2	3	1	106
9	7	4	2	1	random	4	3	1	3	2	106
10	7	4	2	3	random	1	3	1	4	2	106
11	7	2	4	1	random	2	1	3	4	3	106
12	5	4	1	4	random	3	2	3	1	2	106
13	4	1	3	4	random	2	4	2	3	1	106
14	4	1	3	4	random	1	4	2	2	3	106
