	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1						336.0	e	2883	1040	401.0	401	[2, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					216	352.0	351.0	0	352.0	351.0
1	0	1	368.0	367.0	368.0	368.0	401.0	400.0	e	2883	2640	374.0	374	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	384.0	384.0	384.0	384.0	216	351.0	350.0	1	384.0	384.0
2	1	1	304.0	304.0	320.0	320.0	352.0	352.0	e	2883	2400	391.0	391	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	352.0	351.0	384.0	384.0	216	320.0	319.0	0	368.0	368.0
3	0	1			288.0	287.0	304.0	304.0	e	2883	1551	339.0	339	[2, 1, 4, 2, 3, 4]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C				303.0	216	368.0	368.0	0	288.0	287.0
4	0	1	400.0	399.0	352.0	352.0	384.0	383.0	e	2883	2576	341.0	341	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	368.0	367.0	432.0	431.0	216	336.0	336.0	1	304.0	303.0
5	1	1	272.0	271.0	319.0	319.0	304.0	303.0	e	2883	2176	453.0	453	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	320.0	319.0	321.0	320.0	216	320.0	319.0	0	320.0	319.0
6	1	1	304.0	303.0	336.0	335.0	304.0	304.0	e	2883	2256	355.0	355	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	336.0	336.0	352.0	351.0	216	304.0	303.0	0	320.0	319.0
7	1	1	271.0	270.0	321.0	320.0	335.0	335.0	e	2883	2159	515.0	515	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	304.0	304.0	320.0	319.0	216	288.0	287.0	0	320.0	319.0
8	1	1	385.0	384.0	289.0	289.0	400.0	399.0	e	2883	2320	386.0	386	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	319.0	318.0	319.0	319.0	216	288.0	287.0	0	320.0	319.0
9	1	1	256.0	255.0	272.0	272.0	320.0	320.0	e	2883	1952	370.0	370	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	272.0	272.0	240.0	240.0	216	320.0	320.0	0	272.0	271.0
10	0	1							e	2883	288	387.0	387	[3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216			0		287.0
11	1	1	288.0	288.0	336.0	336.0	273.0	272.0	e	2883	2080	275.0	275	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	288.0	287.0	288.0	288.0	216	319.0	318.0	0	288.0	287.0
12	1	1	240.0	240.0	239.0	238.0	256.0	256.0	e	2883	1632	243.0	243	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	208.0	207.0	209.0	208.0	216	256.0	256.0	0	224.0	224.0
13	1	1	192.0	192.0	192.0	191.0	240.0	239.0	e	2883	1360	242.0	242	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	192.0	191.0	176.0	175.0	216	161.0	160.0	0	207.0	207.0
14	1	1	192.0	191.0	208.0	208.0	160.0	160.0	e	2883	1280	226.0	226	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	160.0	160.0	176.0	176.0	216	192.0	192.0	0	192.0	192.0
15	0	1							e	2883	255	321.0	321	[3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216			0		255.0
16	1	1	288.0	287.0	321.0	320.0	335.0	335.0	e	2883	2352	420.0	420	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	352.0	352.0	400.0	399.0	216	320.0	320.0	0	336.0	335.0
17	1	1	288.0	288.0	288.0	288.0	240.0	240.0	e	2883	2160	357.0	357	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	288.0	287.0	384.0	383.0	216	320.0	319.0	0	352.0	351.0
18	1	1	224.0	224.0	240.0	240.0	224.0	224.0	e	2883	1552	241.0	241	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	224.0	224.0	208.0	208.0	216	208.0	208.0	0	224.0	223.0
19	1	1	240.0	239.0	336.0	335.0	288.0	288.0	e	2883	2192	310.0	310	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	304.0	304.0	304.0	303.0	216	352.0	351.0	0	368.0	368.0
20	1	1	128.0	127.0	160.0	160.0	160.0	159.0	e	2883	1152	418.0	418	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	144.0	144.0	176.0	176.0	216	176.0	175.0	0	208.0	207.0
21	1	1	224.0	223.0	416.0	416.0	224.0	224.0	e	2883	1984	288.0	288	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	256.0	256.0	320.0	319.0	216	304.0	303.0	0	240.0	239.0
22	1	1	177.0	176.0	192.0	192.0	192.0	192.0	e	2883	1392	208.0	208	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	223.0	222.0	192.0	192.0	216	192.0	191.0	0	224.0	223.0
23	1	1	256.0	256.0	224.0	224.0	192.0	192.0	e	2883	1488	319.0	319	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	193.0	192.0	191.0	191.0	216	176.0	175.0	0	256.0	255.0
24	0	1			288.0	288.0	304.0	304.0	e	2883	1472	400.0	400	[1, 4, 2, 3, 1, 4]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				271.0	216	288.0	287.0	0	320.0	320.0
25	1	1	240.0	239.0	304.0	303.0	240.0	239.0	e	2883	1792	351.0	351	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	240.0	239.0	240.0	240.0	216	240.0	240.0	0	288.0	288.0
26	1	1	208.0	207.0	272.0	271.0	224.0	224.0	e	2883	1632	462.0	462	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	240.0	239.0	208.0	208.0	216	240.0	239.0	0	240.0	240.0
27	0	1			272.0	271.0	256.0	255.0	e	2303	1552	332.0	332	[1, 4, 2, 3, 1, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B		208.0	320.0	319.0	216	272.0	272.0	0	224.0	223.0
28	1	1	288.0	287.0	305.0	304.0	255.0	254.0	e	2303	1872	302.0	302	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	224.0	223.0	256.0	256.0	216	256.0	255.0	0	288.0	287.0
29	1	1	224.0	224.0	320.0	319.0	240.0	240.0	e	2191	1760	267.0	267	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	240.0	239.0	240.0	240.0	216	224.0	223.0	0	272.0	271.0
30	0	1				272.0	208.0	208.0	e	2102	944	316.0	316	[3, 2, 4, 1, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216	224.0	223.0	0	240.0	240.0
31	0	1	304.0	304.0	256.0	256.0	224.0	224.0	e	2102	1744	367.0	367	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	256.0	256.0	208.0	207.0	216	256.0	256.0	1	240.0	240.0
32	1	1	192.0	192.0	223.0	222.0	208.0	207.0	e	2102	1584	351.0	351	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	240.0	239.0	241.0	240.0	216	256.0	255.0	0	224.0	224.0
33	1	1	159.0	159.0	352.0	351.0	416.0	416.0	e	2070	1631	257.0	257	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	176.0	176.0	160.0	159.0	216	176.0	176.0	0	192.0	191.0
34	1	1	161.0	160.0	192.0	192.0	176.0	176.0	e	1934	1296	369.0	369	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	159.0	158.0	192.0	191.0	216	208.0	208.0	0	208.0	208.0
35	1	1	128.0	128.0	144.0	143.0	159.0	158.0	e	1934	1120	285.0	285	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	144.0	143.0	176.0	175.0	216	161.0	161.0	0	208.0	207.0
36	0	2		127.0	145.0	145.0	144.0	144.0	e	1919	1232	304.0	304	[2, 1, 4, 2, 3, 1, 4, 2]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	177.0	177.0	287.0	286.0	216	160.0	160.0	0	192.0	191.0
37	1	2	144.0	144.0	144.0	143.0	144.0	143.0	e	1919	1072	317.0	317	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	128.0	128.0	160.0	160.0	216	160.0	160.0	0	192.0	192.0
38	1	2	208.0	207.0	192.0	191.0	191.0	190.0	e	1886	1360	299.0	299	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	161.0	160.0	192.0	191.0	216	176.0	176.0	0	240.0	239.0
39	1	2	208.0	207.0	176.0	176.0	193.0	192.0	e	1854	1280	267.0	267	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	175.0	175.0	177.0	176.0	216	159.0	159.0	0	192.0	191.0
40	1	2	176.0	175.0	176.0	175.0	161.0	160.0	e	1854	1184	236.0	236	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	176.0	176.0	160.0	159.0	216	143.0	143.0	0	192.0	192.0
41	1	2	223.0	222.0	176.0	176.0	176.0	175.0	e	1854	1407	251.0	251	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	208.0	207.0	192.0	192.0	216	192.0	192.0	0	240.0	240.0
42	0	2				190.0	192.0	192.0	e	1787	815	331.0	331	[3, 2, 4, 1, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216	209.0	208.0	0	223.0	222.0
43	0	2	224.0	224.0	256.0	256.0	256.0	256.0	e	1787	1824	287.0	287	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	240.0	239.0	288.0	287.0	216	272.0	271.0	1	288.0	287.0
44	0	2	240.0	240.0	192.0	191.0	240.0	240.0	e	1787	1600	379.0	379	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	224.0	224.0	208.0	207.0	216	256.0	255.0	1	240.0	240.0
45	1	2	128.0	128.0	160.0	160.0	160.0	159.0	e	1787	1168	384.0	384	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	144.0	143.0	192.0	192.0	216	177.0	176.0	0	207.0	206.0
46	1	2	128.0	128.0	208.0	207.0	144.0	143.0	e	1706	1248	267.0	267	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	192.0	192.0	208.0	207.0	216	176.0	176.0	0	192.0	191.0
47	1	2	144.0	144.0	161.0	161.0	144.0	143.0	e	1691	1040	377.0	377	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	127.0	126.0	160.0	159.0	216	144.0	143.0	0	160.0	159.0
48	1	2	112.0	111.0	160.0	160.0	176.0	176.0	e	1659	1056	282.0	282	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	176.0	175.0	160.0	160.0	216	128.0	127.0	0	144.0	143.0
49	0	2			128.0	128.0	160.0	159.0	e	1648	640	299.0	299	[2, 1, 4, 2, 3, 4]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C				111.0	216	112.0	111.0	0	128.0	127.0
50	0	2	176.0	176.0	239.0	239.0	208.0	208.0	e	1648	1472	251.0	251	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	160.0	160.0	225.0	224.0	216	240.0	240.0	1	224.0	224.0
51	0	2				207.0	160.0	160.0	e	1648	720	270.0	270	[3, 2, 4, 1, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216	160.0	160.0	0	192.0	191.0
52	1	2	144.0	144.0	192.0	192.0	144.0	144.0	e	1648	1120	317.0	317	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	160.0	160.0	144.0	144.0	216	144.0	144.0	0	192.0	192.0
53	0	2	176.0	176.0	208.0	207.0	176.0	175.0	e	1595	1456	300.0	300	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	209.0	208.0	223.0	222.0	216	224.0	224.0	1	240.0	240.0
54	1	2	96.0	95.0	160.0	160.0	128.0	128.0	e	1595	895	268.0	268	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	112.0	112.0	144.0	144.0	216	144.0	143.0	0	111.0	111.0
55	0	2				175.0	144.0	144.0	e	1579	608	261.0	261	[1, 4, 2, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					216	144.0	144.0	0	144.0	143.0
56	0	2			176.0	176.0	160.0	160.0	e	1579	1023	303.0	303	[1, 4, 2, 3, 1, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B		270.0	144.0	144.0	216	128.0	127.0	0	144.0	143.0
57	1	2	112.0	112.0	192.0	192.0	384.0	384.0	e	1579	1232	253.0	253	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	192.0	192.0	96.0	96.0	216	112.0	111.0	0	144.0	143.0
58	0	2	112.0	112.0	320.0	320.0	144.0	144.0	e	1533	1328	363.0	363	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	160.0	160.0	240.0	240.0	216	128.0	128.0	1	224.0	223.0
59	1	2	128.0	128.0	161.0	160.0	128.0	127.0	e	1533	1024	253.0	253	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	159.0	158.0	160.0	159.0	216	160.0	160.0	0	128.0	128.0
60	0	2			128.0	127.0	112.0	111.0	e	1514	816	314.0	314	[1, 4, 2, 3, 1, 4]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				128.0	216	208.0	207.0	0	240.0	239.0
61	0	2							e	1514	144	347.0	347	[2, 4]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					216			0		143.0
62	0	2				208.0	159.0	159.0	e	1514	752	334.0	334	[1, 4, 2, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					216	192.0	192.0	0	192.0	191.0
63	0	2			208.0	207.0	192.0	192.0	e	1514	1104	411.0	411	[1, 4, 2, 3, 1, 4]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				208.0	216	256.0	255.0	0	240.0	239.0
64	0	2	208.0	207.0	208.0	208.0	224.0	224.0	e	1514	1504	554.0	554	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	208.0	208.0	224.0	224.0	216	208.0	208.0	1	224.0	224.0
65	0	2			144.0	144.0	144.0	143.0	e	1514	752	320.0	320	[1, 4, 2, 3, 1, 4]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				191.0	216	128.0	128.0	0	144.0	143.0
66	1	2	112.0	112.0	144.0	144.0	128.0	127.0	e	1514	1024	412.0	412	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	160.0	160.0	144.0	144.0	216	160.0	159.0	0	176.0	175.0
67	0	2				144.0	128.0	127.0	e	1466	512	298.0	298	[3, 2, 4, 1, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					216	144.0	143.0	0	96.0	95.0
68	0	2			128.0	127.0	160.0	160.0	e	1466	688	283.0	283	[2, 1, 4, 2, 3, 4]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C				144.0	216	96.0	96.0	0	160.0	159.0
69	1	2	191.0	191.0	128.0	128.0	144.0	144.0	e	1466	1151	315.0	315	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	160.0	160.0	160.0	160.0	216	160.0	159.0	0	208.0	208.0
70	1	2	127.0	127.0	144.0	143.0	144.0	144.0	e	1450	1024	234.0	234	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	145.0	144.0	144.0	144.0	216	144.0	143.0	0	176.0	175.0
71	1	2	112.0	112.0	143.0	143.0	144.0	144.0	e	1433	976	335.0	335	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	144.0	143.0	145.0	144.0	216	144.0	144.0	0	144.0	143.0
72	1	3	128.0	128.0	144.0	143.0	128.0	128.0	e	1402	912	304.0	304	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	96.0	96.0	144.0	144.0	216	144.0	143.0	0	128.0	127.0
73	1	3	144.0	144.0	144.0	143.0	112.0	111.0	e	1405	960	425.0	425	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	112.0	112.0	208.0	208.0	216	128.0	127.0	0	112.0	111.0
74	1	3	128.0	128.0	112.0	111.0	112.0	112.0	e	1357	848	299.0	299	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	96.0	96.0	160.0	159.0	216	128.0	128.0	0	112.0	112.0
75	0	3			112.0	111.0	144.0	144.0	e	1355	800	316.0	316	[1, 4, 2, 3, 1, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B		160.0	144.0	144.0	216	112.0	111.0	0	128.0	128.0
76	1	3	112.0	111.0	144.0	144.0	128.0	128.0	e	1355	944	267.0	267	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	112.0	112.0	144.0	144.0	216	144.0	144.0	0	160.0	160.0
77	1	3	127.0	126.0	128.0	128.0	144.0	144.0	e	1322	943	247.0	247	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	112.0	111.0	176.0	176.0	216	128.0	127.0	0	128.0	127.0
