	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
206	0	6				286.0	144.0	142.0	e	1329	704	229.0	229	[3, 2, 4, 1, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	128.0	126.0	0	144.0	142.0
207	1	6	160.0	158.0	192.0	190.0	176.0	174.0	e	1329	1024	256.0	256	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	192.0	190.0	160.0	158.0	253	96.0	94.0	0	48.0	46.0
208	1	6	128.0	126.0	176.0	174.0	192.0	190.0	e	1328	1008	207.0	207	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	176.0	174.0	253	96.0	94.0	0	80.0	78.0
209	1	6	80.0	78.0	208.0	206.0	128.0	126.0	e	1301	1008	261.0	261	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	80.0	78.0	256.0	254.0	253	128.0	126.0	0	128.0	126.0
210	0	6			208.0	206.0	128.0	126.0	e	1312	928	272.0	272	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				318.0	253	176.0	174.0	0	96.0	94.0
211	0	6			192.0	190.0	128.0	126.0	e	1312	768	241.0	241	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				222.0	253	128.0	126.0	0	96.0	94.0
212	1	6	176.0	174.0	144.0	143.0	192.0	191.0	e	1312	991	290.0	290	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	159.0	157.0	144.0	143.0	253	80.0	79.0	0	96.0	94.0
213	0	6	112.0	110.0	208.0	206.0	128.0	126.0	e	1297	1072	292.0	292	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	96.0	94.0	304.0	302.0	253	128.0	126.0	1	96.0	94.0
214	1	6	176.0	174.0	128.0	126.0	176.0	174.0	e	1297	928	227.0	227	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	128.0	126.0	253	64.0	62.0	0	96.0	94.0
215	1	6	144.0	142.0	192.0	190.0	144.0	142.0	e	1297	1023	254.0	254	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	112.0	110.0	240.0	237.0	253	128.0	126.0	0	63.0	62.0
216	0	7							e	1281	192	314.0	314	[1, 4, 3]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C					253		110.0	0	80.0	78.0
217	1	7	80.0	78.0	176.0	174.0	128.0	126.0	e	1281	944	243.0	243	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	112.0	110.0	208.0	206.0	253	128.0	126.0	0	112.0	110.0
218	1	7	80.0	78.0	160.0	158.0	144.0	142.0	e	1280	928	238.0	238	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	112.0	110.0	224.0	222.0	253	128.0	126.0	0	80.0	78.0
219	1	7	80.0	78.0	208.0	206.0	128.0	126.0	e	1279	928	272.0	272	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	80.0	78.0	176.0	174.0	253	144.0	142.0	0	112.0	110.0
220	1	7	272.0	270.0	128.0	126.0	176.0	174.0	e	1265	1008	163.0	163	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	112.0	110.0	253	64.0	62.0	0	96.0	94.0
221	1	7	64.0	62.0	192.0	190.0	128.0	126.0	e	1265	912	179.0	179	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	96.0	94.0	208.0	206.0	253	128.0	126.0	0	96.0	94.0
222	0	7	128.0	126.0	192.0	190.0	144.0	142.0	e	1264	1184	289.0	289	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	112.0	110.0	384.0	382.0	253	128.0	126.0	1	96.0	94.0
223	0	7			208.0	207.0	112.0	110.0	e	1264	880	163.0	163	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				286.0	253	160.0	158.0	0	112.0	110.0
224	0	7	144.0	142.0	208.0	206.0	192.0	190.0	e	1264	1024	308.0	308	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	144.0	142.0	144.0	142.0	253	96.0	94.0	1	96.0	94.0
225	1	7	144.0	142.0	144.0	142.0	304.0	302.0	e	1264	1216	36.0	36	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	128.0	126.0	128.0	126.0	253	128.0	126.0	0	240.0	238.0
226	0	7		174.0	144.0	142.0	176.0	174.0	e	1262	1119	221.0	221	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	192.0	190.0	208.0	206.0	253	128.0	126.0	0	95.0	93.0
227	0	7	224.0	222.0	208.0	206.0	176.0	174.0	e	1262	1152	272.0	272	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	144.0	142.0	176.0	174.0	253	112.0	110.0	1	112.0	110.0
228	1	7	80.0	78.0	192.0	190.0	112.0	110.0	e	1262	1008	206.0	206	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	96.0	94.0	272.0	270.0	253	128.0	126.0	0	128.0	126.0
229	1	7	144.0	142.0	128.0	126.0	176.0	174.0	e	1251	928	225.0	225	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	160.0	158.0	253	96.0	94.0	0	64.0	62.0
230	1	7	128.0	126.0	192.0	190.0	144.0	142.0	e	1246	992	251.0	251	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	96.0	94.0	160.0	158.0	253	176.0	174.0	0	96.0	94.0
231	0	7							e	1235	224	381.0	381	[3, 2, 4, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	128.0	126.0	0	96.0	94.0
232	1	7	160.0	158.0	144.0	142.0	160.0	158.0	e	1235	944	255.0	255	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	128.0	126.0	253	96.0	94.0	0	96.0	94.0
233	1	7	80.0	78.0	176.0	174.0	96.0	94.0	e	1235	897	258.0	258	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	112.0	110.0	208.0	206.0	253	113.0	111.0	0	112.0	110.0
234	0	7	80.0	79.0	256.0	254.0	128.0	126.0	e	1234	1024	285.0	285	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	96.0	95.0	256.0	254.0	253	128.0	127.0	1	80.0	78.0
235	0	7	160.0	158.0	160.0	158.0	176.0	174.0	e	1234	1136	355.0	355	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	128.0	126.0	288.0	286.0	253	144.0	142.0	1	80.0	78.0
236	0	7	144.0	142.0	208.0	206.0	160.0	158.0	e	1234	1072	275.0	275	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	112.0	110.0	176.0	174.0	253	160.0	158.0	1	112.0	110.0
237	0	7			256.0	254.0	144.0	142.0	e	1234	816	269.0	269	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				126.0	253	192.0	190.0	0	96.0	94.0
238	1	7	96.0	94.0	160.0	158.0	144.0	142.0	e	1234	880	262.0	262	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	96.0	94.0	160.0	158.0	253	128.0	126.0	0	96.0	94.0
239	1	7	128.0	127.0	128.0	127.0	160.0	159.0	e	1219	880	194.0	194	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	128.0	126.0	160.0	158.0	253	96.0	94.0	0	80.0	78.0
