	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	1	1	4	2	random	3	2	3	4	1	241
1	5	3	2	1	random	4	1	4	2	3	241
2	5	2	1	4	random	2	3	4	3	1	241
3	6	4	1	3	random	1	2	3	4	2	241
4	7	2	4	1	random	2	3	1	4	3	241
5	7	2	1	3	C	1	4	3	2	4	241
6	5	4	1	2	random	4	3	2	1	3	241
7	7	2	2	4	A	4	1	3	1	3	241
8	6	2	3	1	random	4	4	1	2	3	241
9	2	4	2	4	random	1	3	1	2	3	241
10	7	1	2	1	B	3	3	4	4	2	241
11	7	1	2	1	random	4	4	3	2	3	241
12	5	4	3	2	random	3	1	2	1	4	241
13	2	4	2	1	random	2	3	1	3	4	241
14	2	4	2	3	random	4	1	3	2	1	241
