	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
100	1	3	416.0	414.0	640.0	638.0	640.0	638.0	e	4528	637.0	637	[1, 4, 2, 3, 4, 3, 2, 1]	[1, 4, 2, 3, 4, 3, 2, 1]	random	480.0	478.0	992.0	990.0	247	704.0	702.0	0	656.0	654.0
101	1	3	560.0	558.0	640.0	638.0	448.0	446.0	e	4416	865.0	865	[3, 4, 2, 1, 3, 1, 2, 4]	[3, 4, 2, 1, 3, 1, 2, 4]	random	624.0	622.0	832.0	830.0	247	672.0	670.0	0	640.0	638.0
102	1	3	592.0	590.0	592.0	590.0	432.0	430.0	e	4176	460.0	460	[2, 1, 4, 3, 2, 3, 4, 1]	[2, 1, 4, 3, 2, 3, 4, 1]	random	640.0	638.0	768.0	766.0	247	576.0	574.0	0	576.0	574.0
103	1	3	512.0	510.0	800.0	798.0	400.0	398.0	e	4161	890.0	890	[3, 1, 4, 2, 3, 2, 1, 4]	[3, 1, 4, 2, 3, 2, 1, 4]	random	800.0	798.0	625.0	623.0	247	480.0	478.0	0	544.0	542.0
104	1	3	464.0	462.0	624.0	622.0	416.0	413.0	e	3855	668.0	668	[1, 4, 2, 3, 1, 3, 2, 4]	[1, 4, 2, 3, 1, 3, 2, 4]	random	624.0	622.0	832.0	830.0	247	415.0	414.0	0	480.0	479.0
105	1	3	464.0	462.0	448.0	446.0	592.0	590.0	e	4144	539.0	539	[4, 2, 1, 3, 1, 2, 3, 4]	[4, 2, 1, 3, 1, 2, 3, 4]	random	544.0	542.0	768.0	766.0	247	624.0	622.0	0	704.0	702.0
106	1	3	544.0	542.0	736.0	734.0	512.0	510.0	e	4560	540.0	540	[4, 2, 3, 1, 2, 1, 3, 4]	[4, 2, 3, 1, 2, 1, 3, 4]	random	928.0	925.0	607.0	605.0	247	464.0	462.0	0	769.0	767.0
107	1	3	480.0	478.0	656.0	654.0	416.0	414.0	e	3664	541.0	541	[1, 4, 2, 3, 1, 2, 3, 4]	[1, 4, 2, 3, 1, 2, 3, 4]	random	512.0	510.0	624.0	622.0	247	416.0	414.0	0	560.0	558.0
108	1	3	416.0	414.0	544.0	542.0	400.0	398.0	e	4176	750.0	750	[3, 2, 4, 1, 4, 3, 1, 2]	[3, 2, 4, 1, 4, 3, 1, 2]	random	832.0	830.0	976.0	974.0	247	592.0	590.0	0	416.0	414.0
109	1	3	480.0	478.0	912.0	910.0	432.0	430.0	e	4128	540.0	540	[2, 1, 4, 3, 2, 1, 3, 4]	[2, 1, 4, 3, 2, 1, 3, 4]	random	640.0	638.0	528.0	526.0	247	608.0	606.0	0	528.0	526.0
