	actual_seq	actual_seq_label	generated	seq_eight	seq_five	seq_four	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	[1, 4, 2, 3, 1, 3, 4, 2]	A	[1, 4, 2, 3, 4, 2, 3, 2]	2	4	3	1	3	2	2	4	235
1	[2, 1, 4, 2, 3, 1, 4, 3]	B	[2, 1, 4, 2, 3, 4, 3, 2]	2	3	2	2	3	4	4	1	235
2	[4, 3, 1, 4, 2, 3, 1, 2]	C	[4, 3, 1, 4, 3, 2, 4, 3]	3	3	4	4	4	2	1	3	235
