	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	1	2	4	random	2	4	3	3	1	220
1	6	1	3	1	random	2	4	2	4	3	220
2	5	1	4	1	random	4	2	3	3	2	220
3	3	2	1	3	B	1	4	3	2	4	220
4	5	1	4	3	random	2	3	2	1	4	220
5	2	4	3	4	random	3	2	1	2	1	220
6	6	1	2	1	random	2	3	4	4	3	220
7	7	2	3	2	random	4	1	4	3	1	220
8	7	4	1	4	random	1	3	2	3	2	220
9	6	2	1	2	random	1	4	3	3	4	220
10	4	3	3	2	C	2	4	1	4	1	220
11	5	3	4	1	random	4	2	1	3	2	220
12	1	1	2	1	A	3	3	4	4	2	220
13	7	2	4	3	random	1	1	3	4	2	220
14	1	1	4	3	random	1	2	3	4	2	220
