	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
94	1	3	576.0	575.0	416.0	415.0	464.0	464.0	e	3296	612.0	612	[3, 1, 2, 4, 3, 1, 2, 4]	[3, 1, 2, 4, 3, 1, 2, 4]	random	304.0	303.0	672.0	672.0	218	384.0	383.0	0	480.0	479.0
95	1	3	224.0	223.0	448.0	447.0	448.0	447.0	e	3184	948.0	948	[3, 2, 1, 4, 1, 4, 2, 3]	[3, 2, 1, 4, 1, 4, 2, 3]	random	592.0	591.0	720.0	719.0	218	384.0	384.0	0	368.0	367.0
96	0	3				464.0	400.0	399.0	e	1792	708.0	708	[1, 3, 4, 2, 4]	[1, 3, 4, 2, 3, 4, 1, 2]	random					218	432.0	431.0	0	496.0	496.0
97	1	3	480.0	479.0	448.0	447.0	368.0	367.0	e	3232	523.0	523	[1, 2, 3, 4, 2, 4, 1, 3]	[1, 2, 3, 4, 2, 4, 1, 3]	random	528.0	527.0	528.0	528.0	218	496.0	495.0	0	384.0	384.0
98	1	3	336.0	335.0	640.0	640.0	480.0	480.0	e	3136	581.0	581	[2, 4, 1, 3, 2, 3, 1, 4]	[2, 4, 1, 3, 2, 3, 1, 4]	random	464.0	463.0	368.0	367.0	218	416.0	415.0	0	432.0	431.0
99	1	3	256.0	255.0	624.0	623.0	416.0	415.0	e	3264	453.0	453	[1, 3, 4, 2, 3, 2, 4, 1]	[1, 3, 4, 2, 3, 2, 4, 1]	random	576.0	575.0	496.0	495.0	218	480.0	479.0	0	416.0	415.0
100	1	3	368.0	367.0	608.0	608.0	336.0	335.0	e	3120	596.0	596	[3, 2, 4, 1, 3, 4, 2, 1]	[3, 2, 4, 1, 3, 4, 2, 1]	random	464.0	464.0	480.0	479.0	218	480.0	480.0	0	384.0	383.0
101	1	3	241.0	240.0	543.0	543.0	305.0	304.0	e	3377	516.0	516	[1, 2, 4, 3, 4, 3, 1, 2]	[1, 2, 4, 3, 4, 3, 1, 2]	random	704.0	704.0	384.0	384.0	218	559.0	559.0	0	641.0	640.0
102	1	3	304.0	303.0	576.0	575.0	384.0	384.0	e	3408	581.0	581	[2, 3, 1, 4, 1, 3, 4, 2]	[2, 3, 1, 4, 1, 3, 4, 2]	random	496.0	496.0	736.0	735.0	218	512.0	511.0	0	400.0	399.0
103	1	3	304.0	304.0	528.0	527.0	416.0	415.0	e	3456	628.0	628	[4, 1, 3, 2, 4, 2, 3, 1]	[4, 1, 3, 2, 4, 2, 3, 1]	random	559.0	559.0	513.0	513.0	218	608.0	607.0	0	528.0	527.0
