	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	560.0	559.0	528.0	527.0	496.0	496.0	e	3744	474.0	474	[2, 1, 4, 3, 1, 3, 2, 4]	[2, 1, 4, 3, 1, 3, 2, 4]	random	496.0	496.0	528.0	528.0	214	608.0	608.0	0	528.0	527.0
1	1	1	561.0	561.0	512.0	511.0	512.0	511.0	e	3761	406.0	406	[1, 2, 4, 3, 1, 3, 2, 4]	[1, 2, 4, 3, 1, 3, 2, 4]	random	528.0	527.0	544.0	543.0	214	576.0	575.0	0	528.0	528.0
2	1	1	496.0	495.0	544.0	543.0	575.0	575.0	e	3775	406.0	406	[1, 3, 2, 4, 1, 4, 2, 3]	[1, 3, 2, 4, 1, 4, 2, 3]	random	496.0	496.0	560.0	559.0	214	513.0	512.0	0	591.0	591.0
3	0	1							e	0		359	[4]	[3, 1, 2, 4, 2, 1, 3, 4]	random					214			0		
4	1	1	511.0	511.0	512.0	511.0	656.0	655.0	e	3904	453.0	453	[4, 2, 3, 1, 2, 3, 4, 1]	[4, 2, 3, 1, 2, 3, 4, 1]	random	545.0	544.0	560.0	560.0	214	512.0	511.0	0	608.0	607.0
5	1	1	528.0	528.0	576.0	575.0	544.0	544.0	e	3824	407.0	407	[1, 4, 2, 3, 4, 1, 2, 3]	[1, 4, 2, 3, 4, 1, 2, 3]	random	560.0	559.0	512.0	511.0	214	512.0	511.0	0	592.0	591.0
6	1	1	623.0	623.0	544.0	544.0	544.0	543.0	e	3839	551.0	551	[3, 1, 2, 4, 2, 1, 4, 3]	[3, 1, 2, 4, 2, 1, 4, 3]	random	593.0	592.0	560.0	560.0	214	511.0	511.0	0	464.0	464.0
7	1	1	560.0	559.0	561.0	560.0	544.0	544.0	e	3935	552.0	552	[2, 1, 4, 3, 1, 3, 2, 4]	[2, 1, 4, 3, 1, 3, 2, 4]	random	560.0	559.0	559.0	559.0	214	592.0	592.0	0	559.0	559.0
8	1	1	528.0	528.0	560.0	559.0	544.0	544.0	e	3648	598.0	598	[1, 2, 4, 3, 1, 3, 4, 2]	[1, 2, 4, 3, 1, 3, 4, 2]	random	512.0	511.0	512.0	512.0	214	528.0	527.0	0	464.0	463.0
9	1	1	591.0	591.0	528.0	527.0	560.0	559.0	e	3856	390.0	390	[1, 3, 2, 4, 1, 3, 2, 4]	[1, 3, 2, 4, 1, 3, 2, 4]	random	545.0	545.0	560.0	559.0	214	512.0	511.0	0	560.0	560.0
10	1	1	480.0	480.0	543.0	543.0	561.0	560.0	e	3679	488.0	488	[2, 1, 4, 3, 2, 4, 3, 1]	[2, 1, 4, 3, 2, 4, 3, 1]	random	544.0	543.0	512.0	511.0	214	528.0	527.0	0	511.0	511.0
11	1	1	512.0	512.0	640.0	640.0	479.0	479.0	e	3680	454.0	454	[4, 3, 2, 1, 3, 1, 4, 2]	[4, 3, 2, 1, 3, 1, 4, 2]	random	496.0	495.0	560.0	559.0	214	449.0	448.0	0	544.0	543.0
12	1	1	607.0	607.0	576.0	576.0	496.0	495.0	e	5295	439.0	439	[4, 1, 3, 2, 3, 1, 2, 4]	[4, 1, 3, 2, 3, 1, 2, 4]	random	513.0	513.0	496.0	496.0	214	1455.0	1455.0	0	1152.0	1151.0
13	0	1					3056.0	3055.0	e	4928	1670.0	1670	[3, 2, 4, 1]	[3, 2, 4, 1, 3, 4, 1, 2]	random					214	1135.0	1135.0	1	737.0	736.0
14	0	1			1376.0	1376.0	1872.0	1871.0	e	5905	884.0	884	[4, 2, 1, 3, 2, 1]	[4, 2, 1, 3, 2, 1, 4, 3]	random			993.0	993.0	214	640.0	640.0	1	1024.0	1023.0
15	1	1	1056.0	1055.0	527.0	527.0	385.0	384.0	e	5327	451.0	451	[3, 2, 1, 4, 1, 4, 3, 2]	[3, 2, 1, 4, 1, 4, 3, 2]	random	1136.0	1136.0	1360.0	1360.0	214	384.0	383.0	0	479.0	479.0
16	1	1	912.0	911.0	1025.0	1025.0	528.0	528.0	e	5440	438.0	438	[2, 4, 1, 3, 1, 2, 3, 4]	[2, 4, 1, 3, 1, 2, 3, 4]	random	1024.0	1023.0	959.0	958.0	214	480.0	479.0	0	512.0	512.0
17	1	1	911.0	911.0	1072.0	1072.0	992.0	992.0	e	6608	822.0	822	[1, 2, 4, 3, 2, 3, 4, 1]	[1, 2, 4, 3, 2, 3, 4, 1]	random	945.0	944.0	848.0	847.0	214	895.0	895.0	0	945.0	944.0
18	1	1	880.0	880.0	864.0	863.0	928.0	927.0	e	6416	806.0	806	[4, 1, 2, 3, 1, 3, 4, 2]	[4, 1, 2, 3, 1, 3, 4, 2]	random	976.0	976.0	928.0	928.0	214	928.0	927.0	0	912.0	911.0
