	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1	416.0	416.0	384.0	383.0	416.0	415.0	e	3010	2832	433.0	433	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	400.0	399.0	400.0	399.0	214	432.0	431.0	1	384.0	384.0
1	1	1	320.0	320.0	272.0	271.0	336.0	335.0	e	3010	2400	342.0	342	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	592.0	591.0	320.0	319.0	214	288.0	287.0	0	272.0	271.0
2	1	1	320.0	319.0	256.0	256.0	272.0	271.0	e	3010	2016	370.0	370	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	304.0	304.0	336.0	335.0	214	256.0	256.0	0	272.0	271.0
3	1	1	320.0	319.0	304.0	304.0	368.0	368.0	e	3010	2208	354.0	354	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	303.0	304.0	304.0	214	336.0	336.0	0	272.0	271.0
4	1	1	352.0	351.0	288.0	287.0	288.0	288.0	e	3010	2256	388.0	388	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	320.0	320.0	320.0	319.0	214	336.0	335.0	0	352.0	351.0
5	1	1	320.0	320.0	320.0	320.0	336.0	335.0	e	3010	2240	420.0	420	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	368.0	367.0	288.0	287.0	214	336.0	336.0	0	272.0	271.0
6	1	1	352.0	352.0	288.0	287.0	384.0	383.0	e	3010	2208	387.0	387	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	320.0	288.0	287.0	214	320.0	319.0	0	256.0	255.0
7	1	1	336.0	335.0	288.0	288.0	336.0	335.0	e	3010	2336	403.0	403	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	367.0	320.0	319.0	214	336.0	335.0	0	352.0	352.0
8	0	1	384.0	383.0	304.0	303.0	416.0	415.0	e	3010	2688	387.0	387	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	320.0	319.0	592.0	591.0	214	320.0	319.0	1	352.0	352.0
9	1	1	272.0	271.0	352.0	351.0	400.0	399.0	e	3010	2512	437.0	437	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	303.0	304.0	303.0	214	432.0	431.0	0	448.0	447.0
10	0	1		303.0	272.0	271.0	336.0	336.0	e	3010	2112	371.0	371	[3, 2, 4, 1, 2, 4, 3, 2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	304.0	304.0	336.0	335.0	214	288.0	287.0	0	272.0	271.0
11	1	1	368.0	367.0	320.0	319.0	400.0	399.0	e	3010	2416	405.0	405	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	303.0	304.0	303.0	214	352.0	351.0	0	368.0	368.0
12	1	1	320.0	319.0	288.0	287.0	336.0	335.0	e	3010	2192	434.0	434	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	288.0	287.0	304.0	304.0	214	320.0	320.0	0	336.0	335.0
13	1	1	353.0	352.0	304.0	304.0	352.0	351.0	e	3010	2257	359.0	359	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	320.0	288.0	288.0	214	336.0	335.0	0	304.0	304.0
14	1	1	336.0	335.0	288.0	287.0	368.0	368.0	e	3010	2160	355.0	355	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	288.0	287.0	304.0	303.0	214	304.0	303.0	0	272.0	272.0
15	1	1	336.0	335.0	304.0	303.0	320.0	320.0	e	3010	2240	386.0	386	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	320.0	288.0	288.0	214	304.0	304.0	0	368.0	367.0
16	1	1	337.0	336.0	320.0	319.0	336.0	335.0	e	3010	2288	450.0	450	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	319.0	319.0	352.0	351.0	214	304.0	303.0	0	320.0	319.0
17	1	1	320.0	319.0	271.0	271.0	336.0	336.0	e	3010	2208	577.0	577	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	320.0	320.0	353.0	352.0	214	272.0	271.0	0	336.0	336.0
18	1	1	304.0	304.0	337.0	336.0	288.0	287.0	e	3010	2448	530.0	530	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	352.0	351.0	543.0	543.0	214	304.0	303.0	0	320.0	319.0
19	0	1		127.0	320.0	319.0	400.0	399.0	e	3010	2192	402.0	402	[4, 3, 1, 4, 2, 3, 1, 1]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	352.0	351.0	336.0	336.0	214	320.0	319.0	0	336.0	336.0
