	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	4	1	2	3	random	4	3	4	1	2	210
1	7	2	4	2	random	4	1	3	1	3	210
2	7	3	3	2	A	2	4	1	4	1	210
3	7	2	2	4	B	4	1	3	1	3	210
4	3	3	4	2	random	1	2	1	3	4	210
5	5	1	2	1	C	3	3	4	4	2	210
6	1	2	1	2	random	4	3	4	1	3	210
7	4	4	2	3	random	2	3	1	1	4	210
8	5	2	3	1	random	4	4	1	2	3	210
9	2	4	3	1	random	4	1	2	2	3	210
10	6	3	2	1	random	3	4	1	2	4	210
11	3	4	1	4	random	1	2	3	3	2	210
12	4	1	2	1	random	3	4	3	2	4	210
13	5	1	3	2	random	4	4	2	1	3	210
14	4	2	4	1	random	2	1	3	4	3	210
