	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
1	0	1							e	3032.0				[]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			1		
2	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
3	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
4	0	1							e	3032.0				[]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			1		
5	0	1							e	3032.0				[]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			1		
6	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
7	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
8	0	1							e	3032.0				[]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			1		
9	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
10	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
11	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
12	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
13	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
14	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
15	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
16	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
17	0	1							e	3032.0				[]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			1		
18	0	1							e	3032.0				[]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0			1		
19	0	1							e	3032.0	0.0		3099.0	[1]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C					0			0		
20	0	1							e	3032.0	0.0		3016.0	[4]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			0		
21	0	1			464.0	463.0	512.0	511.0	e	3032.0	3008.0	741.0	741.0	[3, 2, 4, 1, 2, 4, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	480.0	479.0	512.0	511.0	0	448.0	447.0	1	592.0	591.0
22	0	1	528.0	527.0	640.0	639.0	384.0	383.0	e	3032.0	3072.0	615.0	615.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	368.0	367.0	304.0	303.0	0	384.0	383.0	1	464.0	463.0
23	1	1	304.0	303.0	368.0	367.0	288.0	287.0	e	3032.0	2464.0	403.0	403.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	400.0	399.0	400.0	399.0	0	336.0	335.0	0	368.0	367.0
24	0	1	384.0	383.0	384.0	383.0	272.0	271.0	e	3032.0	2688.0	463.0	463.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	400.0	399.0	496.0	495.0	0	320.0	319.0	1	432.0	431.0
25	0	1	384.0	383.0	448.0	447.0	336.0	335.0	e	3032.0	2656.0	642.0	642.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	336.0	335.0	400.0	399.0	0	336.0	335.0	1	416.0	415.0
26	0	1	464.0	463.0	432.0	431.0	320.0	319.0	e	3032.0	2768.0	563.0	563.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	416.0	415.0	416.0	415.0	0	320.0	319.0	1	400.0	399.0
27	0	1	352.0	351.0	384.0	383.0	336.0	335.0	e	3032.0	2704.0	628.0	628.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	416.0	415.0	464.0	463.0	0	384.0	383.0	1	368.0	367.0
28	1	1	336.0	335.0	368.0	367.0	272.0	271.0	e	3032.0	2416.0	579.0	579.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	384.0	383.0	352.0	351.0	0	320.0	319.0	0	384.0	383.0
29	0	1	384.0	383.0	480.0	479.0	400.0	399.0	e	3032.0	2544.0	558.0	558.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	336.0	335.0	240.0	239.0	0	320.0	319.0	1	384.0	383.0
30	0	1	368.0	367.0	384.0	383.0	288.0	287.0	e	3032.0	2736.0	561.0	561.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	448.0	447.0	384.0	383.0	0	464.0	463.0	1	400.0	399.0
31	0	1							e	3032.0	1584.0	546.0	546.0	[3, 3]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			0		1583.0
32	0	1			416.0	415.0	448.0	447.0	e	3032.0	1984.0	1985.0	1985.0	[2, 1, 4, 2, 3, 1]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C			368.0	367.0	0	368.0	367.0	1	384.0	383.0
33	0	1	432.0	431.0	336.0	335.0	256.0	255.0	e	3032.0	2672.0	595.0	595.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	448.0	447.0	528.0	527.0	0	320.0	319.0	1	352.0	351.0
34	0	1	448.0	447.0	480.0	479.0	416.0	415.0	e	3032.0	2720.0	562.0	562.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	336.0	335.0	320.0	319.0	0	320.0	319.0	1	400.0	399.0
35	0	1				239.0	400.0	399.0	e	3032.0	1216.0	546.0	546.0	[1, 4, 2, 3, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B					0	272.0	271.0	0	304.0	303.0
36	0	2			368.0	367.0	320.0	319.0	e	3032.0	1680.0	464.0	464.0	[1, 4, 2, 3, 1, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				383.0	0	304.0	303.0	0	304.0	303.0
37	0	2	448.0	447.0	400.0	399.0	352.0	351.0	e	3032.0	2640.0	593.0	593.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	432.0	431.0	304.0	303.0	0	304.0	303.0	1	400.0	399.0
38	0	2	352.0	351.0	368.0	367.0	352.0	351.0	e	3032.0	2624.0	706.0	706.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	400.0	399.0	368.0	367.0	0	400.0	399.0	1	384.0	383.0
39	1	2	368.0	367.0	320.0	319.0	320.0	319.0	e	3032.0	2560.0	417.0	417.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	416.0	415.0	528.0	527.0	0	304.0	303.0	0	304.0	303.0
40	0	2			272.0	271.0	336.0	335.0	e	3032.0	1824.0	525.0	525.0	[2, 1, 4, 2, 3, 1, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C		367.0	160.0	159.0	0	256.0	255.0	0	432.0	431.0
41	0	2	400.0	399.0	464.0	463.0	352.0	351.0	e	3032.0	2720.0	641.0	641.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	400.0	399.0	272.0	271.0	0	432.0	431.0	1	400.0	399.0
42	1	2	400.0	399.0	336.0	335.0	336.0	335.0	e	3032.0	2192.0	464.0	464.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	384.0	383.0	192.0	191.0	0	240.0	239.0	0	304.0	303.0
43	1	2	336.0	335.0	320.0	319.0	272.0	271.0	e	3032.0	2336.0	526.0	526.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	352.0	351.0	464.0	463.0	0	304.0	303.0	0	288.0	287.0
44	0	2			384.0	383.0	304.0	303.0	e	3032.0	2144.0	559.0	559.0	[3, 2, 4, 1, 2, 4, 2]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A		271.0	352.0	351.0	0	416.0	415.0	0	416.0	415.0
45	0	2			352.0	351.0	336.0	335.0	e	3032.0	2128.0	625.0	625.0	[3, 2, 4, 1, 2, 4, 2]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A		319.0	385.0	384.0	0	352.0	351.0	0	384.0	383.0
46	0	2							e	3032.0	0.0		895.0	[4]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A					0			0		
47	0	2	288.0	287.0	320.0	319.0	352.0	351.0	e	3032.0	2224.0	928.0	928.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	272.0	271.0	272.0	271.0	0	320.0	319.0	1	400.0	399.0
48	1	2	288.0	287.0	224.0	223.0	288.0	287.0	e	3032.0	2272.0	402.0	402.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	320.0	319.0	528.0	527.0	0	288.0	287.0	0	336.0	335.0
49	0	2			320.0	319.0	400.0	399.0	e	3032.0	1424.0	384.0	384.0	[2, 1, 4, 2, 3, 2]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C				207.0	0	224.0	223.0	0	272.0	271.0
50	1	2	384.0	383.0	272.0	271.0	320.0	319.0	e	3032.0	2480.0	464.0	464.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	368.0	367.0	576.0	575.0	0	288.0	287.0	0	272.0	271.0
51	0	2		191.0	416.0	415.0	336.0	335.0	e	3032.0	2720.0	526.0	526.0	[3, 2, 4, 1, 2, 4, 3, 2]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	512.0	511.0	400.0	399.0	0	416.0	415.0	0	448.0	447.0
52	1	2	288.0	287.0	304.0	303.0	288.0	287.0	e	3032.0	2416.0	370.0	370.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	384.0	383.0	560.0	559.0	0	288.0	287.0	0	304.0	303.0
53	0	2			304.0	303.0	432.0	431.0	e	3032.0	1664.0	397.0	397.0	[1, 4, 2, 3, 1, 4]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B				255.0	0	320.0	319.0	0	352.0	351.0
54	1	2	288.0	287.0	352.0	351.0	304.0	303.0	e	3032.0	2368.0	384.0	384.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	352.0	351.0	480.0	479.0	0	272.0	271.0	0	320.0	319.0
55	0	2		239.0	480.0	479.0	352.0	351.0	e	3032.0	2464.0	765.0	765.0	[2, 1, 4, 2, 3, 1, 4, 2]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	336.0	335.0	336.0	335.0	0	256.0	255.0	0	464.0	463.0
56	0	2	384.0	383.0	352.0	351.0	336.0	335.0	e	3032.0	2960.0	832.0	832.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	464.0	463.0	384.0	383.0	0	384.0	383.0	1	656.0	655.0
57	0	2	400.0	399.0	416.0	415.0	272.0	271.0	e	3032.0	2960.0	640.0	640.0	[3, 2, 4, 1, 2, 4, 3, 1]	5	[3, 2, 4, 1, 2, 4, 3, 1]	A	560.0	559.0	368.0	367.0	0	480.0	479.0	1	464.0	463.0
58	0	2	384.0	383.0	352.0	351.0	368.0	367.0	e	3032.0	2816.0	463.0	463.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	368.0	367.0	576.0	575.0	0	416.0	415.0	1	352.0	351.0
59	1	2	304.0	303.0	272.0	271.0	320.0	319.0	e	3032.0	2448.0	464.0	464.0	[1, 4, 2, 3, 1, 3, 4, 2]	10	[1, 4, 2, 3, 1, 3, 4, 2]	B	352.0	351.0	544.0	543.0	0	320.0	319.0	0	336.0	335.0
60	1	2	368.0	367.0	480.0	479.0	368.0	367.0	e	3032.0	2592.0	428.0	428.0	[2, 1, 4, 2, 3, 1, 4, 3]	30	[2, 1, 4, 2, 3, 1, 4, 3]	C	368.0	367.0	384.0	383.0	0	288.0	287.0	0	336.0	335.0
