	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	480.0	479.0	304.0	303.0	352.0	351.0	e	3567	2512	578.0	578	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	320.0	319.0	384.0	383.0	109	336.0	335.0	0	336.0	335.0
1	1	1	528.0	527.0	336.0	335.0	384.0	383.0	e	3567	2784	519.0	519	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	352.0	351.0	368.0	367.0	109	416.0	415.0	0	400.0	399.0
2	1	1	336.0	335.0	400.0	399.0	304.0	303.0	e	3567	2896	487.0	487	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	352.0	351.0	704.0	703.0	109	352.0	351.0	0	448.0	447.0
3	0	1		239.0	304.0	303.0	336.0	335.0	e	3567	2432	550.0	550	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	B	464.0	463.0	384.0	383.0	109	400.0	399.0	0	304.0	303.0
4	0	1	400.0	399.0	384.0	383.0	400.0	399.0	e	3567	3040	616.0	616	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	576.0	575.0	448.0	447.0	109	416.0	415.0	1	416.0	415.0
5	1	1	384.0	383.0	320.0	319.0	384.0	383.0	e	3567	2864	566.0	566	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	560.0	559.0	400.0	399.0	109	400.0	399.0	0	416.0	415.0
6	1	1	352.0	351.0	368.0	367.0	368.0	367.0	e	3567	2544	438.0	438	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	A	400.0	399.0	320.0	319.0	109	384.0	383.0	0	352.0	351.0
7	1	1	448.0	447.0	368.0	367.0	368.0	367.0	e	3567	2752	536.0	536	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	384.0	383.0	400.0	399.0	109	416.0	415.0	0	368.0	367.0
8	1	1	352.0	351.0	368.0	367.0	384.0	383.0	e	3567	2576	439.0	439	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	A	336.0	335.0	320.0	319.0	109	352.0	351.0	0	464.0	463.0
9	1	1	272.0	271.0	352.0	351.0	320.0	319.0	e	3567	2656	469.0	469	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	400.0	399.0	464.0	463.0	109	480.0	479.0	0	368.0	367.0
10	1	1	400.0	399.0	272.0	271.0	304.0	303.0	e	3567	2384	518.0	518	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	B	272.0	271.0	384.0	383.0	109	416.0	415.0	0	336.0	335.0
11	1	1	304.0	303.0	368.0	367.0	288.0	287.0	e	3567	2704	421.0	421	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	C	400.0	399.0	496.0	495.0	109	384.0	383.0	0	464.0	463.0
