	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	2	3	4	random	1	4	1	3	2	109
1	4	1	2	1	B	3	3	4	4	2	109
2	4	2	3	2	random	1	1	4	4	3	109
3	2	2	4	3	random	1	1	3	2	4	109
4	6	2	4	1	random	3	1	3	2	4	109
5	4	2	2	4	A	4	1	3	1	3	109
6	7	1	2	4	random	3	3	4	2	1	109
7	5	4	2	1	random	2	3	1	4	3	109
8	6	3	2	1	random	3	4	1	4	2	109
9	1	3	1	2	random	4	2	4	1	3	109
10	1	4	2	4	random	1	1	3	3	2	109
11	5	3	2	3	random	2	4	1	4	1	109
12	1	3	4	2	random	1	1	2	3	4	109
13	1	2	1	3	C	1	4	3	2	4	109
14	1	4	3	4	random	2	1	2	1	3	109
