	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1			448.0	447.0	432.0	432.0	e	1712	5915.0	5915	[2, 3, 1, 4, 2]	[2, 3, 1, 4, 2, 3, 4, 1]	random					104	432.0	432.0	1	400.0	399.0
1	0	1			464.0	464.0	432.0	431.0	e	2112	488.0	488	[3, 2, 1, 4, 1, 4]	[3, 2, 1, 4, 1, 3, 4, 2]	random				368.0	104	512.0	512.0	0	336.0	336.0
2	1	1	480.0	479.0	416.0	416.0	480.0	480.0	e	3040	509.0	509	[4, 2, 3, 1, 3, 2, 1, 4]	[4, 2, 3, 1, 3, 2, 1, 4]	random	336.0	336.0	352.0	352.0	104	464.0	463.0	0	512.0	512.0
3	0	1							e	720	502.0	502	[3, 4, 1]	[3, 4, 2, 1, 3, 4, 1, 2]	random					104		256.0	0	464.0	463.0
4	1	1	512.0	512.0	960.0	960.0	592.0	592.0	e	4160	559.0	559	[1, 3, 4, 2, 3, 1, 4, 2]	[1, 3, 4, 2, 3, 1, 4, 2]	random	464.0	463.0	544.0	544.0	104	560.0	560.0	0	528.0	527.0
5	1	1	400.0	400.0	688.0	687.0	208.0	207.0	e	3072	438.0	438	[4, 3, 2, 1, 4, 1, 2, 3]	[4, 3, 2, 1, 4, 1, 2, 3]	random	528.0	528.0	560.0	559.0	104	288.0	288.0	0	400.0	399.0
6	0	1			272.0	272.0	512.0	512.0	e	2416	774.0	774	[2, 3, 4, 1, 2, 4, 2]	[2, 3, 4, 1, 2, 4, 1, 3]	random		400.0	576.0	576.0	104	288.0	288.0	0	368.0	368.0
7	0	1							e	768	524.0	524	[4, 3, 2]	[4, 3, 1, 2, 4, 2, 1, 3]	random					104		272.0	0	496.0	496.0
8	0	1			576.0	576.0	368.0	368.0	e	2624	510.0	510	[1, 2, 3, 4, 2, 1, 2]	[1, 2, 3, 4, 2, 1, 3, 4]	random		496.0	448.0	448.0	104	336.0	336.0	0	400.0	400.0
9	1	1	528.0	528.0	464.0	463.0	352.0	351.0	e	2688	673.0	673	[4, 2, 3, 1, 3, 2, 1, 4]	[4, 2, 3, 1, 3, 2, 1, 4]	random	304.0	304.0	320.0	320.0	104	320.0	319.0	0	400.0	400.0
10	1	1	368.0	368.0	688.0	688.0	608.0	608.0	e	3840	726.0	726	[3, 1, 2, 4, 1, 4, 3, 2]	[3, 1, 2, 4, 1, 4, 3, 2]	random	608.0	608.0	624.0	623.0	104	464.0	463.0	0	480.0	480.0
11	0	1							e	352	789.0	789	[3, 2, 3]	[3, 2, 4, 1, 4, 2, 3, 1]	random					104		64.0	0	288.0	287.0
12	1	1	528.0	528.0	544.0	544.0	944.0	944.0	e	4080	591.0	591	[3, 1, 2, 4, 3, 2, 4, 1]	[3, 1, 2, 4, 3, 2, 4, 1]	random	656.0	655.0	400.0	400.0	104	400.0	399.0	0	608.0	608.0
13	0	1						752.0	e	1584	389.0	389	[2, 4, 1, 4]	[2, 4, 1, 3, 2, 3, 1, 4]	random					104	432.0	431.0	0	400.0	399.0
14	0	1			512.0	511.0	640.0	640.0	e	2720	637.0	637	[2, 4, 3, 1, 4, 3, 2]	[2, 4, 3, 1, 4, 3, 1, 2]	random		239.0	384.0	384.0	104	496.0	496.0	0	448.0	447.0
15	1	1	432.0	431.0	448.0	448.0	608.0	608.0	e	3440	541.0	541	[1, 3, 2, 4, 1, 2, 4, 3]	[1, 3, 2, 4, 1, 2, 4, 3]	random	608.0	607.0	384.0	384.0	104	400.0	400.0	0	560.0	559.0
16	0	1							e	944	694.0	694	[2, 3]	[2, 4, 3, 1, 3, 4, 2, 1]	random					104			0		944.0
17	1	1	832.0	831.0	336.0	336.0	384.0	384.0	e	3552	508.0	508	[4, 1, 2, 3, 4, 2, 1, 3]	[4, 1, 2, 3, 4, 2, 1, 3]	random	464.0	464.0	656.0	656.0	104	480.0	480.0	0	400.0	399.0
18	0	1			464.0	464.0	512.0	511.0	e	2160	501.0	501	[3, 1, 2, 4, 3, 2]	[3, 1, 2, 4, 3, 4, 1, 2]	random				207.0	104	480.0	479.0	0	496.0	496.0
19	1	1	384.0	384.0	496.0	496.0	560.0	560.0	e	3584	510.0	510	[3, 1, 2, 4, 2, 1, 3, 4]	[3, 1, 2, 4, 2, 1, 3, 4]	random	800.0	800.0	352.0	352.0	104	464.0	464.0	0	528.0	528.0
20	1	1	464.0	464.0	656.0	655.0	528.0	527.0	e	3632	486.0	486	[1, 2, 4, 3, 4, 2, 3, 1]	[1, 2, 4, 3, 4, 2, 3, 1]	random	512.0	511.0	512.0	511.0	104	576.0	576.0	0	384.0	384.0
21	1	1	416.0	415.0	448.0	448.0	464.0	464.0	e	3360	614.0	614	[2, 3, 4, 1, 2, 1, 4, 3]	[2, 3, 4, 1, 2, 1, 4, 3]	random	608.0	608.0	512.0	511.0	104	464.0	464.0	0	448.0	448.0
