	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	3	3	1	4	random	2	2	4	3	1	107
1	4	2	3	2	random	4	1	4	1	3	107
2	4	1	4	1	random	3	2	3	2	4	107
3	3	3	2	1	random	2	1	4	3	4	107
4	6	3	4	3	random	4	1	2	2	1	107
5	2	2	4	3	random	1	3	1	2	4	107
6	6	2	2	4	C	4	1	3	1	3	107
7	1	2	1	3	A	1	4	3	2	4	107
8	5	3	1	3	random	2	4	2	1	4	107
9	7	4	3	1	random	3	1	2	2	4	107
10	2	1	4	3	random	1	2	3	2	4	107
11	2	2	4	1	random	3	1	3	4	2	107
12	2	2	4	3	random	2	1	3	1	4	107
13	2	1	2	1	random	2	3	4	3	4	107
14	1	3	3	2	B	2	4	1	4	1	107
