	actual_seq	actual_seq_label	generated	seq_eight	seq_five	seq_four	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	[3, 2, 4, 1, 2, 4, 3, 1]	A	[3, 2, 4, 1, 3, 1, 4, 2]	2	3	1	3	4	1	4	2	132
1	[1, 4, 2, 3, 1, 3, 4, 2]	B	[1, 4, 2, 3, 1, 4, 2, 2]	2	1	3	1	2	4	2	4	132
2	[2, 1, 4, 2, 3, 1, 4, 3]	C	[2, 1, 4, 2, 3, 2, 1, 4]	4	3	2	2	1	2	4	1	132
