	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	336.0	334.0	336.0	334.0	320.0	318.0	e	2858	2336	236.0	236	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	C	336.0	334.0	336.0	334.0	110	320.0	318.0	0	352.0	350.0
1	1	1	352.0	350.0	288.0	286.0	368.0	366.0	e	2858	2240	291.0	291	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	366.0	256.0	254.0	110	304.0	302.0	0	304.0	302.0
2	1	1	368.0	366.0	288.0	286.0	335.0	334.0	e	2858	2111	340.0	340	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	256.0	254.0	272.0	270.0	110	320.0	319.0	0	272.0	270.0
3	1	1	336.0	334.0	368.0	366.0	400.0	398.0	e	2858	2464	307.0	307	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	302.0	384.0	382.0	110	352.0	350.0	0	320.0	318.0
4	0	1							e	2858	224	291.0	291	[4, 1]	[4, 3, 1, 4, 2, 3, 1, 2]	B					110			0		222.0
5	1	1	416.0	414.0	352.0	350.0	384.0	382.0	e	2858	2448	260.0	260	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	A	368.0	366.0	320.0	318.0	110	288.0	286.0	0	320.0	318.0
6	0	1			400.0	398.0	416.0	414.0	e	2858	2384	259.0	259	[3, 2, 4, 1, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	C		366.0	384.0	382.0	110	384.0	382.0	0	432.0	430.0
7	1	1	256.0	254.0	336.0	334.0	256.0	254.0	e	2858	1873	244.0	244	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	A	241.0	239.0	368.0	366.0	110	224.0	222.0	0	192.0	190.0
8	1	1	96.0	94.0	272.0	270.0	416.0	414.0	e	2858	1664	274.0	274	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	A	400.0	398.0	144.0	142.0	110	208.0	206.0	0	128.0	126.0
9	1	1	400.0	398.0	288.0	286.0	336.0	334.0	e	2858	2160	243.0	243	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	318.0	288.0	286.0	110	256.0	254.0	0	272.0	270.0
10	1	1	336.0	334.0	368.0	366.0	336.0	334.0	e	2858	2225	259.0	259	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	302.0	320.0	318.0	110	257.0	255.0	0	304.0	302.0
11	1	1	240.0	238.0	272.0	270.0	288.0	286.0	e	2858	1616	323.0	323	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	208.0	206.0	288.0	286.0	110	208.0	206.0	0	112.0	110.0
12	1	1	544.0	542.0	352.0	350.0	336.0	334.0	e	2858	2352	418.0	418	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	A	400.0	398.0	240.0	238.0	110	272.0	270.0	0	208.0	206.0
13	0	1	400.0	398.0	416.0	414.0	480.0	478.0	e	2858	2880	435.0	435	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	B	320.0	318.0	368.0	366.0	110	432.0	430.0	1	464.0	462.0
14	1	1	336.0	334.0	320.0	318.0	288.0	286.0	e	2858	2223	387.0	387	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	C	288.0	286.0	336.0	334.0	110	304.0	302.0	0	351.0	349.0
