	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	1	3	2	random	3	4	2	1	4	121
1	1	1	4	2	random	4	3	2	3	1	121
2	6	3	1	2	random	1	4	2	4	3	121
3	1	1	2	1	B	3	3	4	4	2	121
4	3	2	4	3	random	2	1	3	4	1	121
5	6	4	3	2	random	3	1	2	1	4	121
6	6	3	2	1	random	3	4	1	2	4	121
7	1	2	1	3	C	1	4	3	2	4	121
8	5	1	4	3	random	1	2	3	2	4	121
9	7	1	4	2	random	3	2	3	1	4	121
10	3	1	3	4	random	2	4	2	1	3	121
11	7	3	2	1	random	4	1	4	2	3	121
12	7	1	4	1	random	2	2	3	3	4	121
13	5	1	4	1	random	3	2	3	4	2	121
14	1	2	2	4	A	4	1	3	1	3	121
