	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	2	4	3	1	random	3	1	2	2	4	130
1	2	1	2	4	random	2	3	4	3	1	130
2	2	4	2	4	random	1	1	3	2	3	130
3	2	1	2	4	random	3	4	3	1	2	130
4	2	2	4	1	random	3	3	1	2	4	130
5	4	3	3	2	A	2	4	1	4	1	130
6	1	2	4	2	random	4	1	3	3	1	130
7	1	2	1	2	random	1	4	3	4	3	130
8	7	3	1	3	random	1	2	4	4	2	130
9	7	1	3	1	random	2	2	4	4	3	130
10	1	4	3	4	random	3	2	1	1	2	130
11	3	1	2	1	C	3	3	4	4	2	130
12	4	2	2	4	B	4	1	3	1	3	130
13	5	3	1	4	random	2	4	2	1	3	130
14	5	2	3	4	random	3	1	4	2	1	130
