	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	2	4	3	random	1	3	1	2	4	123
1	7	2	1	2	random	1	4	3	4	3	123
2	1	2	1	3	A	1	4	3	2	4	123
3	7	2	3	1	random	2	4	1	4	3	123
4	4	4	1	3	random	4	3	2	2	1	123
5	4	4	1	4	random	3	3	2	2	1	123
6	3	2	4	1	random	4	1	3	2	3	123
7	6	3	2	3	random	1	1	4	2	4	123
8	6	3	2	3	random	2	1	4	1	4	123
9	4	3	1	3	random	4	2	4	1	2	123
10	6	2	1	2	random	3	4	3	1	4	123
11	1	2	2	4	C	4	1	3	1	3	123
12	7	3	3	2	B	2	4	1	4	1	123
13	5	1	3	1	random	3	2	4	4	2	123
14	3	1	2	4	random	2	3	4	1	3	123
