	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	0	1							e	3291	656	300.0	300	[2, 1, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	C					108		318.0	0	336.0	334.0
1	1	1	464.0	462.0	336.0	334.0	336.0	334.0	e	3291	2656	502.0	502	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	C	480.0	478.0	272.0	270.0	108	448.0	446.0	0	320.0	318.0
2	1	1	320.0	318.0	272.0	270.0	304.0	302.0	e	3291	2400	386.0	386	[1, 4, 2, 3, 1, 3, 4, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	B	336.0	334.0	512.0	510.0	108	320.0	318.0	0	336.0	334.0
3	1	1	304.0	302.0	368.0	366.0	288.0	286.0	e	3291	2336	451.0	451	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	A	336.0	334.0	400.0	398.0	108	352.0	350.0	0	288.0	286.0
4	1	1	448.0	446.0	272.0	270.0	368.0	366.0	e	3291	2368	386.0	386	[2, 1, 4, 2, 3, 1, 4, 3]	[2, 1, 4, 2, 3, 1, 4, 3]	C	432.0	430.0	272.0	270.0	108	272.0	270.0	0	304.0	302.0
5	0	1							e	3291	576	435.0	435	[3, 2, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	A					108		270.0	0	304.0	302.0
6	1	1	224.0	222.0	336.0	334.0	288.0	286.0	e	3291	2223	501.0	501	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	A	352.0	350.0	367.0	366.0	108	336.0	334.0	0	320.0	318.0
7	0	1		270.0	256.0	254.0	400.0	398.0	e	3291	2144	355.0	355	[2, 1, 4, 2, 3, 1, 4, 2]	[2, 1, 4, 2, 3, 1, 4, 3]	C	304.0	302.0	288.0	286.0	108	288.0	286.0	0	336.0	334.0
8	0	1			336.0	334.0	320.0	318.0	e	3291	2096	437.0	437	[1, 4, 2, 3, 1, 3, 2]	[1, 4, 2, 3, 1, 3, 4, 2]	B		254.0	496.0	494.0	108	320.0	318.0	0	368.0	366.0
9	1	1	368.0	366.0	320.0	318.0	368.0	366.0	e	3291	2720	469.0	469	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	A	576.0	574.0	384.0	382.0	108	336.0	334.0	0	368.0	366.0
