	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	4	2	2	4	C	4	1	3	1	3	115
1	6	1	3	1	random	2	4	2	3	4	115
2	5	1	2	4	random	2	3	4	3	1	115
3	7	1	2	4	random	1	4	3	3	2	115
4	6	2	1	3	A	1	4	3	2	4	115
5	1	3	3	2	B	2	4	1	4	1	115
6	5	3	1	3	random	1	2	4	4	2	115
7	4	1	3	2	random	4	4	2	3	1	115
8	7	2	1	2	random	4	3	4	3	1	115
9	4	1	2	4	random	1	3	4	3	2	115
10	7	2	3	1	random	4	1	4	2	3	115
11	7	1	2	1	random	2	4	3	4	3	115
12	3	3	4	1	random	3	1	2	4	2	115
13	3	3	1	4	random	3	4	2	2	1	115
14	6	3	2	4	random	3	1	4	2	1	115
