	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	4	2	4	random	2	1	3	1	3	114
1	6	2	4	1	random	2	3	1	3	4	114
2	4	4	3	1	random	2	1	2	3	4	114
3	2	3	3	2	A	2	4	1	4	1	114
4	6	3	1	2	random	4	4	2	3	1	114
5	4	3	4	1	random	4	2	1	3	2	114
6	4	2	1	3	random	1	4	3	4	2	114
7	1	1	2	1	C	3	3	4	4	2	114
8	7	3	4	3	random	2	1	2	1	4	114
9	1	2	2	4	B	4	1	3	1	3	114
10	6	2	1	2	random	4	3	4	3	1	114
11	7	4	3	2	random	1	1	2	3	4	114
12	5	3	4	3	random	2	2	1	1	4	114
13	2	3	2	3	random	4	4	1	2	1	114
14	3	3	4	1	random	3	1	2	2	4	114
