	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	6	1	2	1	B	3	3	4	4	2	105
1	2	2	3	2	random	1	1	4	4	3	105
2	2	4	3	1	random	3	2	1	2	4	105
3	3	2	1	3	C	1	4	3	2	4	105
4	6	4	3	2	random	1	2	1	4	3	105
5	5	4	3	2	random	1	2	1	3	4	105
6	4	3	1	4	random	1	4	2	2	3	105
7	4	2	2	4	A	4	1	3	1	3	105
8	6	1	2	1	random	2	3	4	4	3	105
9	5	3	1	2	random	3	2	4	1	4	105
10	5	3	2	3	random	2	1	4	4	1	105
11	4	3	1	3	random	2	2	4	4	1	105
12	6	1	4	3	random	1	2	3	2	4	105
13	5	3	1	3	random	4	4	2	2	1	105
14	5	3	2	3	random	1	4	1	4	2	105
