	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	352.0	350.0	352.0	350.0	336.0	334.0	e	2576	501.0	501	[1, 4, 3, 2, 1, 2, 4, 3]	[1, 4, 3, 2, 1, 2, 4, 3]	random	384.0	382.0	400.0	398.0	110	352.0	350.0	0	400.0	398.0
1	1	1	336.0	333.0	369.0	367.0	352.0	350.0	e	2608	319.0	319	[4, 1, 2, 3, 1, 2, 3, 4]	[4, 1, 2, 3, 1, 2, 3, 4]	random	383.0	381.0	400.0	398.0	110	432.0	430.0	0	336.0	334.0
2	0	1							e	0		415	[2]	[3, 2, 4, 1, 2, 3, 1, 4]	random					110			0		
3	1	1	336.0	334.0	368.0	366.0	320.0	318.0	e	2560	444.0	444	[2, 3, 4, 1, 4, 1, 2, 3]	[2, 3, 4, 1, 4, 1, 2, 3]	random	400.0	398.0	448.0	446.0	110	352.0	350.0	0	336.0	334.0
4	1	1	352.0	350.0	320.0	318.0	384.0	382.0	e	2544	399.0	399	[4, 2, 1, 3, 4, 2, 1, 3]	[4, 2, 1, 3, 4, 2, 1, 3]	random	304.0	302.0	384.0	382.0	110	352.0	350.0	0	448.0	446.0
5	1	1	304.0	301.0	368.0	366.0	256.0	254.0	e	2337	366.0	366	[2, 1, 4, 3, 1, 2, 3, 4]	[2, 1, 4, 3, 1, 2, 3, 4]	random	352.0	350.0	384.0	382.0	110	321.0	319.0	0	352.0	349.0
6	1	1	320.0	318.0	320.0	318.0	400.0	398.0	e	2576	367.0	367	[2, 4, 1, 3, 2, 3, 4, 1]	[2, 4, 1, 3, 2, 3, 4, 1]	random	432.0	430.0	448.0	446.0	110	320.0	318.0	0	336.0	334.0
7	1	1	416.0	414.0	464.0	462.0	400.0	398.0	e	2752	577.0	577	[3, 2, 4, 1, 4, 2, 3, 1]	[3, 2, 4, 1, 4, 2, 3, 1]	random	368.0	366.0	368.0	366.0	110	352.0	350.0	0	384.0	382.0
8	0	1							e	0		418	[2]	[3, 1, 4, 2, 4, 3, 2, 1]	random					110			0		
9	1	1	416.0	414.0	416.0	414.0	320.0	318.0	e	2880	427.0	427	[4, 2, 1, 3, 4, 3, 1, 2]	[4, 2, 1, 3, 4, 3, 1, 2]	random	416.0	414.0	464.0	462.0	110	368.0	366.0	0	480.0	478.0
10	1	1	288.0	286.0	400.0	398.0	400.0	398.0	e	2384	611.0	611	[3, 4, 1, 2, 1, 2, 4, 3]	[3, 4, 1, 2, 1, 2, 4, 3]	random	336.0	334.0	352.0	350.0	110	256.0	254.0	0	352.0	350.0
11	1	1	432.0	430.0	368.0	366.0	399.0	397.0	e	2543	415.0	415	[1, 3, 4, 2, 4, 1, 3, 2]	[1, 3, 4, 2, 4, 1, 3, 2]	random	384.0	382.0	288.0	286.0	110	320.0	318.0	0	352.0	350.0
12	1	1	384.0	382.0	480.0	478.0	304.0	302.0	e	2577	335.0	335	[4, 3, 2, 1, 3, 1, 2, 4]	[4, 3, 2, 1, 3, 1, 2, 4]	random	368.0	366.0	449.0	447.0	110	272.0	270.0	0	320.0	318.0
13	1	1	288.0	286.0	352.0	350.0	288.0	286.0	e	2272	382.0	382	[4, 3, 2, 1, 4, 3, 1, 2]	[4, 3, 2, 1, 4, 3, 1, 2]	random	464.0	462.0	288.0	286.0	110	288.0	286.0	0	304.0	302.0
14	1	1	288.0	286.0	400.0	398.0	304.0	303.0	e	2431	814.0	814	[2, 4, 1, 3, 1, 4, 3, 2]	[2, 4, 1, 3, 1, 4, 3, 2]	random	400.0	398.0	351.0	349.0	110	320.0	318.0	0	368.0	366.0
15	0	1			544.0	542.0	544.0	542.0	e	2304	302.0	302	[4, 3, 1, 2, 3, 4, 1]	[4, 3, 1, 2, 3, 4, 2, 1]	random		270.0	320.0	318.0	110	352.0	350.0	0	272.0	270.0
16	0	1			352.0	350.0	288.0	286.0	e	1664	779.0	779	[2, 1, 3, 4, 2, 3]	[2, 1, 3, 4, 2, 4, 1, 3]	random				334.0	110	352.0	350.0	0	336.0	334.0
17	1	1	336.0	334.0	352.0	350.0	304.0	302.0	e	2463	266.0	266	[4, 1, 2, 3, 4, 3, 1, 2]	[4, 1, 2, 3, 4, 3, 1, 2]	random	432.0	430.0	399.0	398.0	110	320.0	318.0	0	320.0	318.0
18	1	1	512.0	510.0	336.0	334.0	336.0	334.0	e	2576	382.0	382	[3, 2, 1, 4, 3, 2, 4, 1]	[3, 2, 1, 4, 3, 2, 4, 1]	random	368.0	366.0	304.0	302.0	110	304.0	302.0	0	416.0	414.0
19	1	1	384.0	382.0	400.0	398.0	321.0	319.0	e	2529	398.0	398	[4, 1, 2, 3, 2, 4, 3, 1]	[4, 1, 2, 3, 2, 4, 3, 1]	random	400.0	398.0	368.0	366.0	110	368.0	366.0	0	288.0	286.0
20	1	1	432.0	430.0	368.0	366.0	288.0	286.0	e	2496	398.0	398	[4, 3, 2, 1, 4, 2, 1, 3]	[4, 3, 2, 1, 4, 2, 1, 3]	random	368.0	366.0	416.0	414.0	110	288.0	286.0	0	336.0	334.0
21	0	1							e	0		398	[4]	[3, 2, 1, 4, 1, 2, 4, 3]	random					110			0		
22	1	1	400.0	398.0	368.0	366.0	336.0	334.0	e	2608	346.0	346	[3, 4, 2, 1, 2, 3, 1, 4]	[3, 4, 2, 1, 2, 3, 1, 4]	random	400.0	398.0	336.0	334.0	110	416.0	414.0	0	352.0	350.0
23	1	1	416.0	414.0	352.0	350.0	304.0	302.0	e	2465	462.0	462	[3, 2, 1, 4, 3, 4, 1, 2]	[3, 2, 1, 4, 3, 4, 1, 2]	random	304.0	302.0	432.0	430.0	110	304.0	302.0	0	353.0	351.0
24	1	1	464.0	462.0	400.0	398.0	336.0	334.0	e	2800	414.0	414	[4, 2, 3, 1, 3, 1, 4, 2]	[4, 2, 3, 1, 3, 1, 4, 2]	random	400.0	398.0	464.0	462.0	110	368.0	366.0	0	368.0	366.0
25	0	1			400.0	398.0	272.0	270.0	e	1808	861.0	861	[2, 4, 1, 3, 4, 4]	[2, 4, 1, 3, 4, 3, 2, 1]	random				526.0	110	240.0	238.0	0	368.0	366.0
26	1	1	480.0	478.0	288.0	286.0	352.0	350.0	e	2609	410.0	410	[3, 2, 4, 1, 4, 2, 3, 1]	[3, 2, 4, 1, 4, 2, 3, 1]	random	336.0	334.0	449.0	447.0	110	336.0	334.0	0	368.0	366.0
27	1	1	320.0	318.0	432.0	430.0	272.0	270.0	e	2560	350.0	350	[4, 2, 3, 1, 2, 4, 3, 1]	[4, 2, 3, 1, 2, 4, 3, 1]	random	432.0	430.0	384.0	382.0	110	288.0	286.0	0	432.0	430.0
28	0	1						398.0	e	1120	349.0	349	[1, 2, 4, 4]	[1, 2, 4, 3, 1, 4, 2, 3]	random					110	368.0	366.0	0	352.0	350.0
29	1	1	304.0	302.0	304.0	302.0	304.0	302.0	e	2496	282.0	282	[1, 3, 2, 4, 1, 4, 3, 2]	[1, 3, 2, 4, 1, 4, 3, 2]	random	400.0	398.0	496.0	494.0	110	288.0	286.0	0	400.0	398.0
30	1	1	256.0	254.0	289.0	287.0	271.0	269.0	e	1920	286.0	286	[1, 2, 3, 4, 1, 2, 3, 4]	[1, 2, 3, 4, 1, 2, 3, 4]	random	256.0	254.0	303.0	301.0	110	256.0	253.0	0	289.0	287.0
31	1	1	496.0	494.0	432.0	430.0	304.0	302.0	e	2768	334.0	334	[4, 1, 3, 2, 3, 2, 1, 4]	[4, 1, 3, 2, 3, 2, 1, 4]	random	400.0	398.0	432.0	430.0	110	336.0	334.0	0	368.0	366.0
32	0	1			480.0	478.0	320.0	318.0	e	1632	334.0	334	[1, 2, 3, 4, 3, 2]	[1, 2, 3, 4, 3, 1, 4, 2]	random				286.0	110	224.0	222.0	0	320.0	318.0
33	1	1	320.0	318.0	352.0	350.0	352.0	350.0	e	2559	377.0	377	[2, 3, 1, 4, 1, 4, 2, 3]	[2, 3, 1, 4, 1, 4, 2, 3]	random	415.0	413.0	416.0	414.0	110	400.0	398.0	0	304.0	302.0
34	1	1	368.0	366.0	512.0	510.0	304.0	302.0	e	2416	412.0	412	[1, 2, 3, 4, 3, 2, 1, 4]	[1, 2, 3, 4, 3, 2, 1, 4]	random	288.0	286.0	336.0	334.0	110	288.0	286.0	0	320.0	318.0
35	1	1	352.0	350.0	576.0	574.0	384.0	382.0	e	2880	318.0	318	[2, 4, 3, 1, 3, 1, 2, 4]	[2, 4, 3, 1, 3, 1, 2, 4]	random	352.0	350.0	480.0	478.0	110	400.0	398.0	0	336.0	334.0
36	1	1	369.0	367.0	400.0	398.0	320.0	318.0	e	2656	334.0	334	[2, 4, 3, 1, 4, 1, 2, 3]	[2, 4, 3, 1, 4, 1, 2, 3]	random	352.0	350.0	399.0	398.0	110	448.0	446.0	0	368.0	366.0
37	1	1	368.0	366.0	480.0	478.0	272.0	270.0	e	2417	556.0	556	[2, 3, 1, 4, 3, 1, 2, 4]	[2, 3, 1, 4, 3, 1, 2, 4]	random	272.0	270.0	368.0	366.0	110	337.0	335.0	0	320.0	318.0
38	1	1	272.0	270.0	352.0	350.0	368.0	366.0	e	2224	541.0	541	[3, 1, 4, 2, 1, 4, 2, 3]	[3, 1, 4, 2, 1, 4, 2, 3]	random	320.0	318.0	320.0	318.0	110	304.0	302.0	0	288.0	286.0
39	1	1	112.0	110.0	288.0	286.0	288.0	286.0	e	2160	317.0	317	[4, 3, 2, 1, 4, 1, 3, 2]	[4, 3, 2, 1, 4, 1, 3, 2]	random	464.0	462.0	368.0	366.0	110	272.0	270.0	0	368.0	366.0
40	1	2	432.0	430.0	352.0	350.0	304.0	302.0	e	2256	341.0	341	[3, 2, 4, 1, 2, 3, 1, 4]	[3, 2, 4, 1, 2, 3, 1, 4]	random	320.0	318.0	272.0	270.0	110	288.0	286.0	0	288.0	286.0
41	1	2	400.0	398.0	320.0	318.0	256.0	254.0	e	2720	302.0	302	[3, 2, 4, 1, 2, 1, 3, 4]	[3, 2, 4, 1, 2, 1, 3, 4]	random	720.0	718.0	416.0	414.0	110	336.0	334.0	0	272.0	270.0
42	1	2	272.0	270.0	288.0	286.0	304.0	302.0	e	2176	333.0	333	[2, 3, 1, 4, 1, 2, 3, 4]	[2, 3, 1, 4, 1, 2, 3, 4]	random	288.0	286.0	400.0	398.0	110	336.0	334.0	0	288.0	286.0
43	1	2	240.0	238.0	368.0	366.0	240.0	238.0	e	2289	398.0	398	[1, 2, 4, 3, 1, 4, 3, 2]	[1, 2, 4, 3, 1, 4, 3, 2]	random	448.0	446.0	369.0	367.0	110	352.0	350.0	0	272.0	270.0
44	1	2	256.0	254.0	512.0	510.0	272.0	270.0	e	2368	382.0	382	[2, 3, 1, 4, 1, 2, 3, 4]	[2, 3, 1, 4, 1, 2, 3, 4]	random	336.0	334.0	352.0	350.0	110	320.0	318.0	0	320.0	318.0
45	1	2	384.0	382.0	400.0	398.0	304.0	301.0	e	2495	446.0	446	[1, 4, 2, 3, 2, 4, 1, 3]	[1, 4, 2, 3, 2, 4, 1, 3]	random	288.0	286.0	400.0	398.0	110	352.0	349.0	0	367.0	365.0
46	0	2			448.0	446.0	288.0	286.0	e	2256	431.0	431	[3, 2, 4, 1, 4, 3, 2]	[3, 2, 4, 1, 4, 3, 1, 2]	random		446.0	320.0	318.0	110	368.0	366.0	0	384.0	382.0
47	1	2	576.0	574.0	416.0	414.0	400.0	398.0	e	2944	343.0	343	[3, 4, 2, 1, 3, 1, 4, 2]	[3, 4, 2, 1, 3, 1, 4, 2]	random	400.0	398.0	384.0	382.0	110	464.0	462.0	0	304.0	302.0
48	1	2	288.0	286.0	384.0	381.0	352.0	349.0	e	2431	386.0	386	[1, 3, 4, 2, 4, 1, 2, 3]	[1, 3, 4, 2, 4, 1, 2, 3]	random	384.0	381.0	368.0	365.0	110	304.0	301.0	0	351.0	349.0
49	1	2	288.0	286.0	336.0	334.0	448.0	446.0	e	2608	433.0	433	[2, 4, 1, 3, 2, 1, 3, 4]	[2, 4, 1, 3, 2, 1, 3, 4]	random	416.0	414.0	416.0	414.0	110	384.0	382.0	0	320.0	318.0
50	1	2	368.0	366.0	400.0	398.0	369.0	367.0	e	2689	401.0	401	[3, 1, 2, 4, 2, 1, 4, 3]	[3, 1, 2, 4, 2, 1, 4, 3]	random	400.0	398.0	368.0	366.0	110	400.0	398.0	0	384.0	382.0
51	1	2	272.0	269.0	272.0	269.0	368.0	365.0	e	2351	513.0	513	[4, 2, 1, 3, 4, 1, 2, 3]	[4, 2, 1, 3, 4, 1, 2, 3]	random	304.0	302.0	288.0	285.0	110	432.0	430.0	0	415.0	413.0
52	1	2	496.0	494.0	448.0	446.0	384.0	382.0	e	2960	513.0	513	[3, 1, 2, 4, 2, 4, 1, 3]	[3, 1, 2, 4, 2, 4, 1, 3]	random	416.0	414.0	432.0	430.0	110	336.0	334.0	0	448.0	446.0
53	1	2	336.0	334.0	432.0	430.0	256.0	254.0	e	2448	433.0	433	[4, 2, 3, 1, 2, 4, 1, 3]	[4, 2, 3, 1, 2, 4, 1, 3]	random	256.0	254.0	400.0	397.0	110	304.0	302.0	0	464.0	462.0
54	1	2	208.0	205.0	256.0	254.0	255.0	254.0	e	2175	430.0	430	[1, 2, 4, 3, 1, 2, 3, 4]	[1, 2, 4, 3, 1, 2, 3, 4]	random	416.0	414.0	336.0	334.0	110	401.0	398.0	0	303.0	301.0
55	1	2	384.0	382.0	240.0	238.0	256.0	254.0	e	2128	493.0	493	[2, 3, 4, 1, 2, 4, 3, 1]	[2, 3, 4, 1, 2, 4, 3, 1]	random	256.0	254.0	400.0	398.0	110	288.0	286.0	0	304.0	302.0
56	1	2	320.0	318.0	320.0	318.0	256.0	254.0	e	2112	365.0	365	[4, 3, 2, 1, 4, 2, 1, 3]	[4, 3, 2, 1, 4, 2, 1, 3]	random	352.0	350.0	336.0	334.0	110	240.0	238.0	0	288.0	286.0
57	1	2	192.0	191.0	352.0	350.0	256.0	254.0	e	2113	334.0	334	[4, 1, 3, 2, 1, 2, 3, 4]	[4, 1, 3, 2, 1, 2, 3, 4]	random	241.0	239.0	416.0	414.0	110	288.0	286.0	0	368.0	366.0
58	1	2	192.0	190.0	320.0	318.0	304.0	302.0	e	2080	411.0	411	[3, 1, 2, 4, 3, 4, 2, 1]	[3, 1, 2, 4, 3, 4, 2, 1]	random	240.0	238.0	368.0	366.0	110	304.0	302.0	0	352.0	350.0
59	1	2	96.0	94.0	336.0	334.0	192.0	190.0	e	2112	332.0	332	[3, 1, 4, 2, 3, 1, 2, 4]	[3, 1, 4, 2, 3, 1, 2, 4]	random	416.0	414.0	368.0	366.0	110	368.0	366.0	0	336.0	334.0
60	0	2			432.0	430.0	112.0	110.0	e	1888	461.0	461	[1, 2, 3, 4, 3, 1, 2]	[1, 2, 3, 4, 3, 1, 4, 2]	random		302.0	400.0	398.0	110	272.0	270.0	0	368.0	366.0
61	1	2	304.0	302.0	272.0	270.0	320.0	318.0	e	2177	408.0	408	[2, 1, 4, 3, 2, 1, 4, 3]	[2, 1, 4, 3, 2, 1, 4, 3]	random	288.0	286.0	320.0	318.0	110	305.0	303.0	0	368.0	366.0
62	1	2	96.0	94.0	368.0	366.0	288.0	286.0	e	2208	365.0	365	[1, 4, 2, 3, 4, 2, 1, 3]	[1, 4, 2, 3, 4, 2, 1, 3]	random	432.0	430.0	320.0	318.0	110	336.0	334.0	0	368.0	366.0
63	1	2	272.0	270.0	400.0	398.0	160.0	158.0	e	2224	445.0	445	[3, 4, 1, 2, 3, 2, 1, 4]	[3, 4, 1, 2, 3, 2, 1, 4]	random	304.0	302.0	320.0	318.0	110	432.0	430.0	0	336.0	334.0
64	0	2							e	288	333.0	333	[4, 3]	[4, 1, 3, 2, 3, 4, 2, 1]	random					110			0		286.0
