	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
0	1	1	400.0	398.0	432.0	430.0	384.0	382.0	e	2960	521.0	521	[2, 1, 4, 3, 1, 2, 4, 3]	[2, 1, 4, 3, 1, 2, 4, 3]	random	400.0	398.0	400.0	398.0	102	528.0	526.0	0	416.0	414.0
1	1	1	400.0	398.0	384.0	381.0	336.0	334.0	e	3071	338.0	338	[4, 1, 3, 2, 4, 1, 3, 2]	[4, 1, 3, 2, 4, 1, 3, 2]	random	656.0	653.0	431.0	429.0	102	464.0	462.0	0	400.0	398.0
2	1	1	400.0	398.0	480.0	478.0	352.0	350.0	e	3152	397.0	397	[4, 2, 3, 1, 3, 4, 2, 1]	[4, 2, 3, 1, 3, 4, 2, 1]	random	624.0	622.0	384.0	382.0	102	352.0	350.0	0	560.0	558.0
3	1	1	448.0	446.0	416.0	414.0	512.0	510.0	e	2992	702.0	702	[3, 1, 4, 2, 3, 2, 4, 1]	[3, 1, 4, 2, 3, 2, 4, 1]	random	416.0	414.0	400.0	398.0	102	416.0	414.0	0	384.0	382.0
4	1	1	400.0	398.0	528.0	525.0	512.0	510.0	e	3105	494.0	494	[2, 3, 4, 1, 4, 2, 3, 1]	[2, 3, 4, 1, 4, 2, 3, 1]	random	368.0	366.0	416.0	414.0	102	415.0	413.0	0	466.0	464.0
5	1	1	288.0	286.0	432.0	430.0	336.0	334.0	e	2992	383.0	383	[4, 1, 3, 2, 1, 2, 3, 4]	[4, 1, 3, 2, 1, 2, 3, 4]	random	432.0	430.0	688.0	686.0	102	448.0	446.0	0	368.0	366.0
6	1	1	400.0	399.0	528.0	526.0	480.0	478.0	e	3184	593.0	593	[3, 1, 2, 4, 3, 1, 2, 4]	[3, 1, 2, 4, 3, 1, 2, 4]	random	384.0	382.0	576.0	574.0	102	416.0	414.0	0	400.0	398.0
7	1	1	288.0	286.0	400.0	398.0	385.0	383.0	e	2545	382.0	382	[1, 2, 3, 4, 1, 2, 3, 4]	[1, 2, 3, 4, 1, 2, 3, 4]	random	320.0	318.0	336.0	334.0	102	352.0	350.0	0	464.0	461.0
8	1	1	432.0	430.0	320.0	318.0	496.0	494.0	e	2784	401.0	401	[2, 1, 4, 3, 2, 4, 3, 1]	[2, 1, 4, 3, 2, 4, 3, 1]	random	368.0	366.0	416.0	414.0	102	384.0	382.0	0	368.0	366.0
9	1	1	432.0	430.0	560.0	558.0	416.0	414.0	e	3040	431.0	431	[2, 3, 1, 4, 3, 1, 4, 2]	[2, 3, 1, 4, 3, 1, 4, 2]	random	480.0	478.0	464.0	462.0	102	336.0	334.0	0	352.0	350.0
10	1	1	417.0	415.0	400.0	398.0	384.0	382.0	e	2961	509.0	509	[3, 1, 4, 2, 1, 4, 2, 3]	[3, 1, 4, 2, 1, 4, 2, 3]	random	592.0	590.0	400.0	398.0	102	384.0	382.0	0	384.0	382.0
11	1	1	416.0	414.0	368.0	366.0	464.0	462.0	e	3040	431.0	431	[1, 3, 4, 2, 1, 3, 4, 2]	[1, 3, 4, 2, 1, 3, 4, 2]	random	368.0	366.0	480.0	478.0	102	464.0	462.0	0	480.0	478.0
12	1	1	367.0	365.0	400.0	398.0	352.0	350.0	e	2975	270.0	270	[4, 2, 1, 3, 2, 1, 3, 4]	[4, 2, 1, 3, 2, 1, 3, 4]	random	560.0	558.0	464.0	462.0	102	432.0	430.0	0	400.0	398.0
