	response	seq_eight	seq_five	seq_four	seq_labels	seq_one	seq_seven	seq_six	seq_three	seq_two	subject
0	5	3	3	2	C	2	4	1	4	1	120
1	1	4	2	3	random	1	1	3	2	4	120
2	6	1	2	1	A	3	3	4	4	2	120
3	6	3	4	1	random	2	1	2	3	4	120
4	6	2	1	2	random	3	3	4	1	4	120
5	6	3	2	4	random	2	1	4	1	3	120
6	2	3	4	3	random	2	2	1	4	1	120
7	5	4	2	4	random	1	3	1	3	2	120
8	6	2	1	3	B	1	4	3	2	4	120
9	6	3	2	3	random	2	4	1	4	1	120
10	6	2	1	4	random	2	4	3	3	1	120
11	6	2	1	2	random	1	4	3	3	4	120
12	6	3	4	3	random	4	1	2	2	1	120
13	6	2	4	1	random	2	1	3	3	4	120
14	6	1	4	3	random	1	2	3	4	2	120
